,item,a,b,real,alt,passage,condition,first_mention,mentions_real,mentions_alt,stim_number,knowledge_cue
19,candy,Marta,Tyler,bottom,top,"It is Marta's birthday, and their auntie pops in to give them a box of candy. Marta puts the candy in the bottom drawer for safe-keeping. A few minutes later, Marta's greedy sibling Tyler comes in and asks Marta: “Where have you put your candy, in your bottom drawer or your top drawer?” Marta does not want Tyler to find the candy. Marta says the candy are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit
20,candy,Antonio,Emily,top,bottom,"It is Antonio's birthday, and their auntie pops in to give them a box of candy. Antonio puts the candy in the top drawer for safe-keeping. A few minutes later, Antonio's greedy sibling Emily comes in and asks Antonio: “Where have you put your candy, in your top drawer or your bottom drawer?” Antonio does not want Emily to find the candy. Antonio says the candy are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit
21,candy,Antonio,Emily,bottom,top,"It is Antonio's birthday, and their auntie pops in to give them a box of candy. Antonio puts the candy in the bottom drawer for safe-keeping. A few minutes later, Antonio's greedy sibling Emily comes in and asks Antonio: “Where have you put your candy, in your bottom drawer or your top drawer?” Antonio does not want Emily to find the candy. Antonio says the candy are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit
22,candy,Antonio,Marta,top,bottom,"It is Antonio's birthday, and their auntie pops in to give them a box of candy. Antonio puts the candy in the top drawer for safe-keeping. A few minutes later, Antonio's greedy sibling Marta comes in and asks Antonio: “Where have you put your candy, in your top drawer or your bottom drawer?” Antonio does not want Marta to find the candy. Antonio says the candy are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit
23,candy,Antonio,Marta,bottom,top,"It is Antonio's birthday, and their auntie pops in to give them a box of candy. Antonio puts the candy in the bottom drawer for safe-keeping. A few minutes later, Antonio's greedy sibling Marta comes in and asks Antonio: “Where have you put your candy, in your bottom drawer or your top drawer?” Antonio does not want Marta to find the candy. Antonio says the candy are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit
24,chocolates,Sean,Antonio,top,bottom,"It is Sean's birthday, and their auntie pops in to give her a box of chocolates. Sean puts chocolates in the top drawer for safe-keeping. A few minutes later, Sean's sweet sibling Antonio comes in and asks Sean: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Sean wants to share the chocolates with Antonio. Sean says the chocolates are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit
25,chocolates,Sean,Antonio,bottom,top,"It is Sean's birthday, and their auntie pops in to give her a box of chocolates. Sean puts chocolates in the bottom drawer for safe-keeping. A few minutes later, Sean's sweet sibling Antonio comes in and asks Sean: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Sean wants to share the chocolates with Antonio. Sean says the chocolates are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit
26,chocolates,Sean,Cameron,top,bottom,"It is Sean's birthday, and their auntie pops in to give her a box of chocolates. Sean puts chocolates in the top drawer for safe-keeping. A few minutes later, Sean's sweet sibling Cameron comes in and asks Sean: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Sean wants to share the chocolates with Cameron. Sean says the chocolates are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit
27,chocolates,Sean,Cameron,bottom,top,"It is Sean's birthday, and their auntie pops in to give her a box of chocolates. Sean puts chocolates in the bottom drawer for safe-keeping. A few minutes later, Sean's sweet sibling Cameron comes in and asks Sean: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Sean wants to share the chocolates with Cameron. Sean says the chocolates are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit
28,chocolates,Ben,Marta,top,bottom,"It is Ben's birthday, and their auntie pops in to give her a box of chocolates. Ben puts chocolates in the top drawer for safe-keeping. A few minutes later, Ben's sweet sibling Marta comes in and asks Ben: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Ben wants to share the chocolates with Marta. Ben says the chocolates are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit
29,chocolates,Ben,Marta,bottom,top,"It is Ben's birthday, and their auntie pops in to give her a box of chocolates. Ben puts chocolates in the bottom drawer for safe-keeping. A few minutes later, Ben's sweet sibling Marta comes in and asks Ben: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Ben wants to share the chocolates with Marta. Ben says the chocolates are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit
30,chocolates,Ben,Sean,top,bottom,"It is Ben's birthday, and their auntie pops in to give her a box of chocolates. Ben puts chocolates in the top drawer for safe-keeping. A few minutes later, Ben's sweet sibling Sean comes in and asks Ben: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Ben wants to share the chocolates with Sean. Ben says the chocolates are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit
31,chocolates,Ben,Sean,bottom,top,"It is Ben's birthday, and their auntie pops in to give her a box of chocolates. Ben puts chocolates in the bottom drawer for safe-keeping. A few minutes later, Ben's sweet sibling Sean comes in and asks Ben: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Ben wants to share the chocolates with Sean. Ben says the chocolates are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit
32,sweets,Sonja,Tyler,top,bottom,"It is Sonja's birthday, and their auntie pops in to give her a box of sweets. Sonja puts sweets in the top drawer for safe-keeping. A few minutes later, Sonja's sweet sibling Tyler comes in and asks Sonja: “Where have you put your sweets, in your top drawer or your bottom drawer?” Sonja wants to share the sweets with Tyler. Sonja says the sweets are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit
33,sweets,Sonja,Tyler,bottom,top,"It is Sonja's birthday, and their auntie pops in to give her a box of sweets. Sonja puts sweets in the bottom drawer for safe-keeping. A few minutes later, Sonja's sweet sibling Tyler comes in and asks Sonja: “Where have you put your sweets, in your bottom drawer or your top drawer?” Sonja wants to share the sweets with Tyler. Sonja says the sweets are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit
34,sweets,Sonja,Antonio,top,bottom,"It is Sonja's birthday, and their auntie pops in to give her a box of sweets. Sonja puts sweets in the top drawer for safe-keeping. A few minutes later, Sonja's sweet sibling Antonio comes in and asks Sonja: “Where have you put your sweets, in your top drawer or your bottom drawer?” Sonja wants to share the sweets with Antonio. Sonja says the sweets are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit
35,sweets,Sonja,Antonio,bottom,top,"It is Sonja's birthday, and their auntie pops in to give her a box of sweets. Sonja puts sweets in the bottom drawer for safe-keeping. A few minutes later, Sonja's sweet sibling Antonio comes in and asks Sonja: “Where have you put your sweets, in your bottom drawer or your top drawer?” Sonja wants to share the sweets with Antonio. Sonja says the sweets are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit
36,sweets,Cameron,Antonio,top,bottom,"It is Cameron's birthday, and their auntie pops in to give her a box of sweets. Cameron puts sweets in the top drawer for safe-keeping. A few minutes later, Cameron's sweet sibling Antonio comes in and asks Cameron: “Where have you put your sweets, in your top drawer or your bottom drawer?” Cameron wants to share the sweets with Antonio. Cameron says the sweets are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit
37,sweets,Cameron,Antonio,bottom,top,"It is Cameron's birthday, and their auntie pops in to give her a box of sweets. Cameron puts sweets in the bottom drawer for safe-keeping. A few minutes later, Cameron's sweet sibling Antonio comes in and asks Cameron: “Where have you put your sweets, in your bottom drawer or your top drawer?” Cameron wants to share the sweets with Antonio. Cameron says the sweets are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit
38,sweets,Cameron,Sean,top,bottom,"It is Cameron's birthday, and their auntie pops in to give her a box of sweets. Cameron puts sweets in the top drawer for safe-keeping. A few minutes later, Cameron's sweet sibling Sean comes in and asks Cameron: “Where have you put your sweets, in your top drawer or your bottom drawer?” Cameron wants to share the sweets with Sean. Cameron says the sweets are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit
39,sweets,Cameron,Sean,bottom,top,"It is Cameron's birthday, and their auntie pops in to give her a box of sweets. Cameron puts sweets in the bottom drawer for safe-keeping. A few minutes later, Cameron's sweet sibling Sean comes in and asks Cameron: “Where have you put your sweets, in your bottom drawer or your top drawer?” Cameron wants to share the sweets with Sean. Cameron says the sweets are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit
40,candy,Antonio,Marta,top,bottom,"It is Antonio's birthday, and their auntie pops in to give her a box of candy. Antonio puts candy in the top drawer for safe-keeping. A few minutes later, Antonio's sweet sibling Marta comes in and asks Antonio: “Where have you put your candy, in your top drawer or your bottom drawer?” Antonio wants to share the candy with Marta. Antonio says the candy are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit
41,candy,Antonio,Marta,bottom,top,"It is Antonio's birthday, and their auntie pops in to give her a box of candy. Antonio puts candy in the bottom drawer for safe-keeping. A few minutes later, Antonio's sweet sibling Marta comes in and asks Antonio: “Where have you put your candy, in your bottom drawer or your top drawer?” Antonio wants to share the candy with Marta. Antonio says the candy are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit
42,candy,Antonio,Catherine,top,bottom,"It is Antonio's birthday, and their auntie pops in to give her a box of candy. Antonio puts candy in the top drawer for safe-keeping. A few minutes later, Antonio's sweet sibling Catherine comes in and asks Antonio: “Where have you put your candy, in your top drawer or your bottom drawer?” Antonio wants to share the candy with Catherine. Antonio says the candy are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit
43,candy,Antonio,Catherine,bottom,top,"It is Antonio's birthday, and their auntie pops in to give her a box of candy. Antonio puts candy in the bottom drawer for safe-keeping. A few minutes later, Antonio's sweet sibling Catherine comes in and asks Antonio: “Where have you put your candy, in your bottom drawer or your top drawer?” Antonio wants to share the candy with Catherine. Antonio says the candy are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit
44,candy,Sonja,Cameron,top,bottom,"It is Sonja's birthday, and their auntie pops in to give her a box of candy. Sonja puts candy in the top drawer for safe-keeping. A few minutes later, Sonja's sweet sibling Cameron comes in and asks Sonja: “Where have you put your candy, in your top drawer or your bottom drawer?” Sonja wants to share the candy with Cameron. Sonja says the candy are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit
45,candy,Sonja,Cameron,bottom,top,"It is Sonja's birthday, and their auntie pops in to give her a box of candy. Sonja puts candy in the bottom drawer for safe-keeping. A few minutes later, Sonja's sweet sibling Cameron comes in and asks Sonja: “Where have you put your candy, in your bottom drawer or your top drawer?” Sonja wants to share the candy with Cameron. Sonja says the candy are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit
46,candy,Sonja,Tyler,top,bottom,"It is Sonja's birthday, and their auntie pops in to give her a box of candy. Sonja puts candy in the top drawer for safe-keeping. A few minutes later, Sonja's sweet sibling Tyler comes in and asks Sonja: “Where have you put your candy, in your top drawer or your bottom drawer?” Sonja wants to share the candy with Tyler. Sonja says the candy are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit
47,candy,Sonja,Tyler,bottom,top,"It is Sonja's birthday, and their auntie pops in to give her a box of candy. Sonja puts candy in the bottom drawer for safe-keeping. A few minutes later, Sonja's sweet sibling Tyler comes in and asks Sonja: “Where have you put your candy, in your bottom drawer or your top drawer?” Sonja wants to share the candy with Tyler. Sonja says the candy are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit
48,chocolates,Sonja,Ben,top,bottom,"It is Sonja's birthday, and their auntie pops in to give them a box of chocolates. Sonja considers the bottom drawer, but then puts the chocolates in the top drawer for safe-keeping. A few minutes later, Sonja's greedy sibling Ben comes in and asks Sonja: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Sonja does not want Ben to find the chocolates. Sonja says the chocolates are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit
49,chocolates,Sonja,Ben,bottom,top,"It is Sonja's birthday, and their auntie pops in to give them a box of chocolates. Sonja considers the top drawer, but then puts the chocolates in the bottom drawer for safe-keeping. A few minutes later, Sonja's greedy sibling Ben comes in and asks Sonja: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Sonja does not want Ben to find the chocolates. Sonja says the chocolates are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit
50,chocolates,Sonja,James,top,bottom,"It is Sonja's birthday, and their auntie pops in to give them a box of chocolates. Sonja considers the bottom drawer, but then puts the chocolates in the top drawer for safe-keeping. A few minutes later, Sonja's greedy sibling James comes in and asks Sonja: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Sonja does not want James to find the chocolates. Sonja says the chocolates are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit
51,chocolates,Sonja,James,bottom,top,"It is Sonja's birthday, and their auntie pops in to give them a box of chocolates. Sonja considers the top drawer, but then puts the chocolates in the bottom drawer for safe-keeping. A few minutes later, Sonja's greedy sibling James comes in and asks Sonja: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Sonja does not want James to find the chocolates. Sonja says the chocolates are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit
52,chocolates,Catherine,Tyler,top,bottom,"It is Catherine's birthday, and their auntie pops in to give them a box of chocolates. Catherine considers the bottom drawer, but then puts the chocolates in the top drawer for safe-keeping. A few minutes later, Catherine's greedy sibling Tyler comes in and asks Catherine: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Catherine does not want Tyler to find the chocolates. Catherine says the chocolates are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit
53,chocolates,Catherine,Tyler,bottom,top,"It is Catherine's birthday, and their auntie pops in to give them a box of chocolates. Catherine considers the top drawer, but then puts the chocolates in the bottom drawer for safe-keeping. A few minutes later, Catherine's greedy sibling Tyler comes in and asks Catherine: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Catherine does not want Tyler to find the chocolates. Catherine says the chocolates are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit
54,chocolates,Catherine,Antonio,top,bottom,"It is Catherine's birthday, and their auntie pops in to give them a box of chocolates. Catherine considers the bottom drawer, but then puts the chocolates in the top drawer for safe-keeping. A few minutes later, Catherine's greedy sibling Antonio comes in and asks Catherine: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Catherine does not want Antonio to find the chocolates. Catherine says the chocolates are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit
55,chocolates,Catherine,Antonio,bottom,top,"It is Catherine's birthday, and their auntie pops in to give them a box of chocolates. Catherine considers the top drawer, but then puts the chocolates in the bottom drawer for safe-keeping. A few minutes later, Catherine's greedy sibling Antonio comes in and asks Catherine: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Catherine does not want Antonio to find the chocolates. Catherine says the chocolates are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit
56,sweets,James,Pamela,top,bottom,"It is James's birthday, and their auntie pops in to give them a box of sweets. James considers the bottom drawer, but then puts the sweets in the top drawer for safe-keeping. A few minutes later, James's greedy sibling Pamela comes in and asks James: “Where have you put your sweets, in your top drawer or your bottom drawer?” James does not want Pamela to find the sweets. James says the sweets are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit
57,sweets,James,Pamela,bottom,top,"It is James's birthday, and their auntie pops in to give them a box of sweets. James considers the top drawer, but then puts the sweets in the bottom drawer for safe-keeping. A few minutes later, James's greedy sibling Pamela comes in and asks James: “Where have you put your sweets, in your bottom drawer or your top drawer?” James does not want Pamela to find the sweets. James says the sweets are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit
58,sweets,James,Cameron,top,bottom,"It is James's birthday, and their auntie pops in to give them a box of sweets. James considers the bottom drawer, but then puts the sweets in the top drawer for safe-keeping. A few minutes later, James's greedy sibling Cameron comes in and asks James: “Where have you put your sweets, in your top drawer or your bottom drawer?” James does not want Cameron to find the sweets. James says the sweets are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit
59,sweets,James,Cameron,bottom,top,"It is James's birthday, and their auntie pops in to give them a box of sweets. James considers the top drawer, but then puts the sweets in the bottom drawer for safe-keeping. A few minutes later, James's greedy sibling Cameron comes in and asks James: “Where have you put your sweets, in your bottom drawer or your top drawer?” James does not want Cameron to find the sweets. James says the sweets are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit
60,sweets,Ben,Sonja,top,bottom,"It is Ben's birthday, and their auntie pops in to give them a box of sweets. Ben considers the bottom drawer, but then puts the sweets in the top drawer for safe-keeping. A few minutes later, Ben's greedy sibling Sonja comes in and asks Ben: “Where have you put your sweets, in your top drawer or your bottom drawer?” Ben does not want Sonja to find the sweets. Ben says the sweets are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit
61,sweets,Ben,Sonja,bottom,top,"It is Ben's birthday, and their auntie pops in to give them a box of sweets. Ben considers the top drawer, but then puts the sweets in the bottom drawer for safe-keeping. A few minutes later, Ben's greedy sibling Sonja comes in and asks Ben: “Where have you put your sweets, in your bottom drawer or your top drawer?” Ben does not want Sonja to find the sweets. Ben says the sweets are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit
62,sweets,Ben,James,top,bottom,"It is Ben's birthday, and their auntie pops in to give them a box of sweets. Ben considers the bottom drawer, but then puts the sweets in the top drawer for safe-keeping. A few minutes later, Ben's greedy sibling James comes in and asks Ben: “Where have you put your sweets, in your top drawer or your bottom drawer?” Ben does not want James to find the sweets. Ben says the sweets are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit
63,sweets,Ben,James,bottom,top,"It is Ben's birthday, and their auntie pops in to give them a box of sweets. Ben considers the top drawer, but then puts the sweets in the bottom drawer for safe-keeping. A few minutes later, Ben's greedy sibling James comes in and asks Ben: “Where have you put your sweets, in your bottom drawer or your top drawer?” Ben does not want James to find the sweets. Ben says the sweets are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit
64,candy,Sonja,Cameron,top,bottom,"It is Sonja's birthday, and their auntie pops in to give them a box of candy. Sonja considers the bottom drawer, but then puts the candy in the top drawer for safe-keeping. A few minutes later, Sonja's greedy sibling Cameron comes in and asks Sonja: “Where have you put your candy, in your top drawer or your bottom drawer?” Sonja does not want Cameron to find the candy. Sonja says the candy are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit
65,candy,Sonja,Cameron,bottom,top,"It is Sonja's birthday, and their auntie pops in to give them a box of candy. Sonja considers the top drawer, but then puts the candy in the bottom drawer for safe-keeping. A few minutes later, Sonja's greedy sibling Cameron comes in and asks Sonja: “Where have you put your candy, in your bottom drawer or your top drawer?” Sonja does not want Cameron to find the candy. Sonja says the candy are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit
66,candy,Sonja,Emily,top,bottom,"It is Sonja's birthday, and their auntie pops in to give them a box of candy. Sonja considers the bottom drawer, but then puts the candy in the top drawer for safe-keeping. A few minutes later, Sonja's greedy sibling Emily comes in and asks Sonja: “Where have you put your candy, in your top drawer or your bottom drawer?” Sonja does not want Emily to find the candy. Sonja says the candy are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit
67,candy,Sonja,Emily,bottom,top,"It is Sonja's birthday, and their auntie pops in to give them a box of candy. Sonja considers the top drawer, but then puts the candy in the bottom drawer for safe-keeping. A few minutes later, Sonja's greedy sibling Emily comes in and asks Sonja: “Where have you put your candy, in your bottom drawer or your top drawer?” Sonja does not want Emily to find the candy. Sonja says the candy are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit
68,candy,Ben,Emily,top,bottom,"It is Ben's birthday, and their auntie pops in to give them a box of candy. Ben considers the bottom drawer, but then puts the candy in the top drawer for safe-keeping. A few minutes later, Ben's greedy sibling Emily comes in and asks Ben: “Where have you put your candy, in your top drawer or your bottom drawer?” Ben does not want Emily to find the candy. Ben says the candy are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit
69,candy,Ben,Emily,bottom,top,"It is Ben's birthday, and their auntie pops in to give them a box of candy. Ben considers the top drawer, but then puts the candy in the bottom drawer for safe-keeping. A few minutes later, Ben's greedy sibling Emily comes in and asks Ben: “Where have you put your candy, in your bottom drawer or your top drawer?” Ben does not want Emily to find the candy. Ben says the candy are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit
70,candy,Ben,Marta,top,bottom,"It is Ben's birthday, and their auntie pops in to give them a box of candy. Ben considers the bottom drawer, but then puts the candy in the top drawer for safe-keeping. A few minutes later, Ben's greedy sibling Marta comes in and asks Ben: “Where have you put your candy, in your top drawer or your bottom drawer?” Ben does not want Marta to find the candy. Ben says the candy are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit
