,item,a,b,start,end,passage,condition,first_mention,mentions_start,mentions_end,stim_number,knowledge_cue
15,book,Tyler,Emily,desk,table,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the desk. Tyler leaves to get something to eat in the kitchen. Emily comes in and moves the book from the desk to a table. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit
16,book,Tyler,Emily,desk,bed,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the desk. Tyler leaves to get something to eat in the kitchen. Emily comes in and moves the book from the desk to a bed. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit
17,book,Tyler,Emily,bed,desk,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the bed. Tyler leaves to get something to eat in the kitchen. Emily comes in and moves the book from the bed to a desk. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit
18,book,Tyler,Pamela,bed,table,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the bed. Tyler leaves to get something to eat in the kitchen. Pamela comes in and moves the book from the bed to a table. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit
19,book,Tyler,Pamela,table,bed,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the table. Tyler leaves to get something to eat in the kitchen. Pamela comes in and moves the book from the table to a bed. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit
20,book,Tyler,Pamela,table,desk,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the table. Tyler leaves to get something to eat in the kitchen. Pamela comes in and moves the book from the table to a desk. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit
21,book,Tyler,Pamela,desk,table,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the desk. Tyler leaves to get something to eat in the kitchen. Pamela comes in and moves the book from the desk to a table. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit
22,book,Tyler,Pamela,desk,bed,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the desk. Tyler leaves to get something to eat in the kitchen. Pamela comes in and moves the book from the desk to a bed. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit
23,book,Tyler,Pamela,bed,desk,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the bed. Tyler leaves to get something to eat in the kitchen. Pamela comes in and moves the book from the bed to a desk. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,Start,2,1,1,Explicit
24,magazine,Emily,Pamela,bed,table,"Emily is reading a magazine. When Emily is done, Emily puts the magazine on the bed. Emily leaves to get something to eat in the kitchen. Pamela comes in and moves the magazine from the bed to a table. Then Emily comes back into the room. Emily thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit
25,magazine,Emily,Pamela,table,bed,"Emily is reading a magazine. When Emily is done, Emily puts the magazine on the table. Emily leaves to get something to eat in the kitchen. Pamela comes in and moves the magazine from the table to a bed. Then Emily comes back into the room. Emily thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit
26,magazine,Emily,Pamela,table,desk,"Emily is reading a magazine. When Emily is done, Emily puts the magazine on the table. Emily leaves to get something to eat in the kitchen. Pamela comes in and moves the magazine from the table to a desk. Then Emily comes back into the room. Emily thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit
27,magazine,Emily,Pamela,desk,table,"Emily is reading a magazine. When Emily is done, Emily puts the magazine on the desk. Emily leaves to get something to eat in the kitchen. Pamela comes in and moves the magazine from the desk to a table. Then Emily comes back into the room. Emily thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit
28,magazine,Emily,Pamela,desk,bed,"Emily is reading a magazine. When Emily is done, Emily puts the magazine on the desk. Emily leaves to get something to eat in the kitchen. Pamela comes in and moves the magazine from the desk to a bed. Then Emily comes back into the room. Emily thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit
29,magazine,Emily,Pamela,bed,desk,"Emily is reading a magazine. When Emily is done, Emily puts the magazine on the bed. Emily leaves to get something to eat in the kitchen. Pamela comes in and moves the magazine from the bed to a desk. Then Emily comes back into the room. Emily thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit
30,magazine,Emily,Marta,bed,table,"Emily is reading a magazine. When Emily is done, Emily puts the magazine on the bed. Emily leaves to get something to eat in the kitchen. Marta comes in and moves the magazine from the bed to a table. Then Emily comes back into the room. Emily thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit
31,magazine,Emily,Marta,table,bed,"Emily is reading a magazine. When Emily is done, Emily puts the magazine on the table. Emily leaves to get something to eat in the kitchen. Marta comes in and moves the magazine from the table to a bed. Then Emily comes back into the room. Emily thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit
32,magazine,Emily,Marta,table,desk,"Emily is reading a magazine. When Emily is done, Emily puts the magazine on the table. Emily leaves to get something to eat in the kitchen. Marta comes in and moves the magazine from the table to a desk. Then Emily comes back into the room. Emily thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit
33,magazine,Emily,Marta,desk,table,"Emily is reading a magazine. When Emily is done, Emily puts the magazine on the desk. Emily leaves to get something to eat in the kitchen. Marta comes in and moves the magazine from the desk to a table. Then Emily comes back into the room. Emily thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit
34,magazine,Emily,Marta,desk,bed,"Emily is reading a magazine. When Emily is done, Emily puts the magazine on the desk. Emily leaves to get something to eat in the kitchen. Marta comes in and moves the magazine from the desk to a bed. Then Emily comes back into the room. Emily thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit
35,magazine,Emily,Marta,bed,desk,"Emily is reading a magazine. When Emily is done, Emily puts the magazine on the bed. Emily leaves to get something to eat in the kitchen. Marta comes in and moves the magazine from the bed to a desk. Then Emily comes back into the room. Emily thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit
36,magazine,Antonio,Emily,bed,table,"Antonio is reading a magazine. When Antonio is done, Antonio puts the magazine on the bed. Antonio leaves to get something to eat in the kitchen. Emily comes in and moves the magazine from the bed to a table. Then Antonio comes back into the room. Antonio thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit
37,magazine,Antonio,Emily,table,bed,"Antonio is reading a magazine. When Antonio is done, Antonio puts the magazine on the table. Antonio leaves to get something to eat in the kitchen. Emily comes in and moves the magazine from the table to a bed. Then Antonio comes back into the room. Antonio thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit
38,magazine,Antonio,Emily,table,desk,"Antonio is reading a magazine. When Antonio is done, Antonio puts the magazine on the table. Antonio leaves to get something to eat in the kitchen. Emily comes in and moves the magazine from the table to a desk. Then Antonio comes back into the room. Antonio thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit
39,magazine,Antonio,Emily,desk,table,"Antonio is reading a magazine. When Antonio is done, Antonio puts the magazine on the desk. Antonio leaves to get something to eat in the kitchen. Emily comes in and moves the magazine from the desk to a table. Then Antonio comes back into the room. Antonio thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit
40,magazine,Antonio,Emily,desk,bed,"Antonio is reading a magazine. When Antonio is done, Antonio puts the magazine on the desk. Antonio leaves to get something to eat in the kitchen. Emily comes in and moves the magazine from the desk to a bed. Then Antonio comes back into the room. Antonio thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit
41,magazine,Antonio,Emily,bed,desk,"Antonio is reading a magazine. When Antonio is done, Antonio puts the magazine on the bed. Antonio leaves to get something to eat in the kitchen. Emily comes in and moves the magazine from the bed to a desk. Then Antonio comes back into the room. Antonio thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit
42,magazine,Antonio,Sonja,bed,table,"Antonio is reading a magazine. When Antonio is done, Antonio puts the magazine on the bed. Antonio leaves to get something to eat in the kitchen. Sonja comes in and moves the magazine from the bed to a table. Then Antonio comes back into the room. Antonio thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit
43,magazine,Antonio,Sonja,table,bed,"Antonio is reading a magazine. When Antonio is done, Antonio puts the magazine on the table. Antonio leaves to get something to eat in the kitchen. Sonja comes in and moves the magazine from the table to a bed. Then Antonio comes back into the room. Antonio thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit
44,magazine,Antonio,Sonja,table,desk,"Antonio is reading a magazine. When Antonio is done, Antonio puts the magazine on the table. Antonio leaves to get something to eat in the kitchen. Sonja comes in and moves the magazine from the table to a desk. Then Antonio comes back into the room. Antonio thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit
45,magazine,Antonio,Sonja,desk,table,"Antonio is reading a magazine. When Antonio is done, Antonio puts the magazine on the desk. Antonio leaves to get something to eat in the kitchen. Sonja comes in and moves the magazine from the desk to a table. Then Antonio comes back into the room. Antonio thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit
46,magazine,Antonio,Sonja,desk,bed,"Antonio is reading a magazine. When Antonio is done, Antonio puts the magazine on the desk. Antonio leaves to get something to eat in the kitchen. Sonja comes in and moves the magazine from the desk to a bed. Then Antonio comes back into the room. Antonio thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit
47,magazine,Antonio,Sonja,bed,desk,"Antonio is reading a magazine. When Antonio is done, Antonio puts the magazine on the bed. Antonio leaves to get something to eat in the kitchen. Sonja comes in and moves the magazine from the bed to a desk. Then Antonio comes back into the room. Antonio thinks the magazine is on the [MASK] .",False belief,Start,2,1,1,Explicit
48,book,Tyler,James,bed,table,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the bed. James comes into the room. Tyler watches James move the book from the bed to a table. Tyler thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit
49,book,Tyler,James,table,bed,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the table. James comes into the room. Tyler watches James move the book from the table to a bed. Tyler thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit
50,book,Tyler,James,table,desk,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the table. James comes into the room. Tyler watches James move the book from the table to a desk. Tyler thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit
51,book,Tyler,James,desk,table,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the desk. James comes into the room. Tyler watches James move the book from the desk to a table. Tyler thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit
52,book,Tyler,James,desk,bed,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the desk. James comes into the room. Tyler watches James move the book from the desk to a bed. Tyler thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit
53,book,Tyler,James,bed,desk,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the bed. James comes into the room. Tyler watches James move the book from the bed to a desk. Tyler thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit
54,book,Tyler,Catherine,bed,table,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the bed. Catherine comes into the room. Tyler watches Catherine move the book from the bed to a table. Tyler thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit
55,book,Tyler,Catherine,table,bed,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the table. Catherine comes into the room. Tyler watches Catherine move the book from the table to a bed. Tyler thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit
56,book,Tyler,Catherine,table,desk,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the table. Catherine comes into the room. Tyler watches Catherine move the book from the table to a desk. Tyler thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit
57,book,Tyler,Catherine,desk,table,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the desk. Catherine comes into the room. Tyler watches Catherine move the book from the desk to a table. Tyler thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit
58,book,Tyler,Catherine,desk,bed,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the desk. Catherine comes into the room. Tyler watches Catherine move the book from the desk to a bed. Tyler thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit
59,book,Tyler,Catherine,bed,desk,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the bed. Catherine comes into the room. Tyler watches Catherine move the book from the bed to a desk. Tyler thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit
60,book,Ben,Cameron,bed,table,"Ben is reading a book. When Ben is done, Ben puts the book on the bed. Cameron comes into the room. Ben watches Cameron move the book from the bed to a table. Ben thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit
61,book,Ben,Cameron,table,bed,"Ben is reading a book. When Ben is done, Ben puts the book on the table. Cameron comes into the room. Ben watches Cameron move the book from the table to a bed. Ben thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit
62,book,Ben,Cameron,table,desk,"Ben is reading a book. When Ben is done, Ben puts the book on the table. Cameron comes into the room. Ben watches Cameron move the book from the table to a desk. Ben thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit
63,book,Ben,Cameron,desk,table,"Ben is reading a book. When Ben is done, Ben puts the book on the desk. Cameron comes into the room. Ben watches Cameron move the book from the desk to a table. Ben thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit
64,book,Ben,Cameron,desk,bed,"Ben is reading a book. When Ben is done, Ben puts the book on the desk. Cameron comes into the room. Ben watches Cameron move the book from the desk to a bed. Ben thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit
65,book,Ben,Cameron,bed,desk,"Ben is reading a book. When Ben is done, Ben puts the book on the bed. Cameron comes into the room. Ben watches Cameron move the book from the bed to a desk. Ben thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit
66,book,Ben,James,bed,table,"Ben is reading a book. When Ben is done, Ben puts the book on the bed. James comes into the room. Ben watches James move the book from the bed to a table. Ben thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit
67,book,Ben,James,table,bed,"Ben is reading a book. When Ben is done, Ben puts the book on the table. James comes into the room. Ben watches James move the book from the table to a bed. Ben thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit
68,book,Ben,James,table,desk,"Ben is reading a book. When Ben is done, Ben puts the book on the table. James comes into the room. Ben watches James move the book from the table to a desk. Ben thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit
69,book,Ben,James,desk,table,"Ben is reading a book. When Ben is done, Ben puts the book on the desk. James comes into the room. Ben watches James move the book from the desk to a table. Ben thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit
70,book,Ben,James,desk,bed,"Ben is reading a book. When Ben is done, Ben puts the book on the desk. James comes into the room. Ben watches James move the book from the desk to a bed. Ben thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit
71,book,Ben,James,bed,desk,"Ben is reading a book. When Ben is done, Ben puts the book on the bed. James comes into the room. Ben watches James move the book from the bed to a desk. Ben thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit
72,magazine,Cameron,Catherine,bed,table,"Cameron is reading a magazine. When Cameron is done, Cameron puts the magazine on the bed. Catherine comes into the room. Cameron watches Catherine move the magazine from the bed to a table. Cameron thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit
73,magazine,Cameron,Catherine,table,bed,"Cameron is reading a magazine. When Cameron is done, Cameron puts the magazine on the table. Catherine comes into the room. Cameron watches Catherine move the magazine from the table to a bed. Cameron thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit
74,magazine,Cameron,Catherine,table,desk,"Cameron is reading a magazine. When Cameron is done, Cameron puts the magazine on the table. Catherine comes into the room. Cameron watches Catherine move the magazine from the table to a desk. Cameron thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit
75,magazine,Cameron,Catherine,desk,table,"Cameron is reading a magazine. When Cameron is done, Cameron puts the magazine on the desk. Catherine comes into the room. Cameron watches Catherine move the magazine from the desk to a table. Cameron thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit
76,magazine,Cameron,Catherine,desk,bed,"Cameron is reading a magazine. When Cameron is done, Cameron puts the magazine on the desk. Catherine comes into the room. Cameron watches Catherine move the magazine from the desk to a bed. Cameron thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit
77,magazine,Cameron,Catherine,bed,desk,"Cameron is reading a magazine. When Cameron is done, Cameron puts the magazine on the bed. Catherine comes into the room. Cameron watches Catherine move the magazine from the bed to a desk. Cameron thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit
78,magazine,Cameron,Sonja,bed,table,"Cameron is reading a magazine. When Cameron is done, Cameron puts the magazine on the bed. Sonja comes into the room. Cameron watches Sonja move the magazine from the bed to a table. Cameron thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit
79,magazine,Cameron,Sonja,table,bed,"Cameron is reading a magazine. When Cameron is done, Cameron puts the magazine on the table. Sonja comes into the room. Cameron watches Sonja move the magazine from the table to a bed. Cameron thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit
80,magazine,Cameron,Sonja,table,desk,"Cameron is reading a magazine. When Cameron is done, Cameron puts the magazine on the table. Sonja comes into the room. Cameron watches Sonja move the magazine from the table to a desk. Cameron thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit
81,magazine,Cameron,Sonja,desk,table,"Cameron is reading a magazine. When Cameron is done, Cameron puts the magazine on the desk. Sonja comes into the room. Cameron watches Sonja move the magazine from the desk to a table. Cameron thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit
82,magazine,Cameron,Sonja,desk,bed,"Cameron is reading a magazine. When Cameron is done, Cameron puts the magazine on the desk. Sonja comes into the room. Cameron watches Sonja move the magazine from the desk to a bed. Cameron thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit
83,magazine,Cameron,Sonja,bed,desk,"Cameron is reading a magazine. When Cameron is done, Cameron puts the magazine on the bed. Sonja comes into the room. Cameron watches Sonja move the magazine from the bed to a desk. Cameron thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit
84,magazine,James,Pamela,bed,table,"James is reading a magazine. When James is done, James puts the magazine on the bed. Pamela comes into the room. James watches Pamela move the magazine from the bed to a table. James thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit
85,magazine,James,Pamela,table,bed,"James is reading a magazine. When James is done, James puts the magazine on the table. Pamela comes into the room. James watches Pamela move the magazine from the table to a bed. James thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit
86,magazine,James,Pamela,table,desk,"James is reading a magazine. When James is done, James puts the magazine on the table. Pamela comes into the room. James watches Pamela move the magazine from the table to a desk. James thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit
87,magazine,James,Pamela,desk,table,"James is reading a magazine. When James is done, James puts the magazine on the desk. Pamela comes into the room. James watches Pamela move the magazine from the desk to a table. James thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit
88,magazine,James,Pamela,desk,bed,"James is reading a magazine. When James is done, James puts the magazine on the desk. Pamela comes into the room. James watches Pamela move the magazine from the desk to a bed. James thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit
89,magazine,James,Pamela,bed,desk,"James is reading a magazine. When James is done, James puts the magazine on the bed. Pamela comes into the room. James watches Pamela move the magazine from the bed to a desk. James thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit
90,magazine,James,Antonio,bed,table,"James is reading a magazine. When James is done, James puts the magazine on the bed. Antonio comes into the room. James watches Antonio move the magazine from the bed to a table. James thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit
91,magazine,James,Antonio,table,bed,"James is reading a magazine. When James is done, James puts the magazine on the table. Antonio comes into the room. James watches Antonio move the magazine from the table to a bed. James thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit
92,magazine,James,Antonio,table,desk,"James is reading a magazine. When James is done, James puts the magazine on the table. Antonio comes into the room. James watches Antonio move the magazine from the table to a desk. James thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit
93,magazine,James,Antonio,desk,table,"James is reading a magazine. When James is done, James puts the magazine on the desk. Antonio comes into the room. James watches Antonio move the magazine from the desk to a table. James thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit
94,magazine,James,Antonio,desk,bed,"James is reading a magazine. When James is done, James puts the magazine on the desk. Antonio comes into the room. James watches Antonio move the magazine from the desk to a bed. James thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit
95,magazine,James,Antonio,bed,desk,"James is reading a magazine. When James is done, James puts the magazine on the bed. Antonio comes into the room. James watches Antonio move the magazine from the bed to a desk. James thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit
96,book,Tyler,Pamela,bed,table,"Tyler is reading a book near the table. When Tyler is done, Tyler puts the book on the bed. Tyler leaves to get something to eat in the kitchen. Pamela comes in and moves the book from the bed to a table. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,End,2,2,1,Explicit
97,book,Tyler,Pamela,table,bed,"Tyler is reading a book near the bed. When Tyler is done, Tyler puts the book on the table. Tyler leaves to get something to eat in the kitchen. Pamela comes in and moves the book from the table to a bed. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,End,2,2,1,Explicit
98,book,Tyler,Pamela,table,desk,"Tyler is reading a book near the desk. When Tyler is done, Tyler puts the book on the table. Tyler leaves to get something to eat in the kitchen. Pamela comes in and moves the book from the table to a desk. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,End,2,2,1,Explicit
99,book,Tyler,Pamela,desk,table,"Tyler is reading a book near the table. When Tyler is done, Tyler puts the book on the desk. Tyler leaves to get something to eat in the kitchen. Pamela comes in and moves the book from the desk to a table. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,End,2,2,1,Explicit
100,book,Tyler,Pamela,desk,bed,"Tyler is reading a book near the bed. When Tyler is done, Tyler puts the book on the desk. Tyler leaves to get something to eat in the kitchen. Pamela comes in and moves the book from the desk to a bed. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,End,2,2,1,Explicit
101,book,Tyler,Pamela,bed,desk,"Tyler is reading a book near the desk. When Tyler is done, Tyler puts the book on the bed. Tyler leaves to get something to eat in the kitchen. Pamela comes in and moves the book from the bed to a desk. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,End,2,2,1,Explicit
102,book,Tyler,Lisa,bed,table,"Tyler is reading a book near the table. When Tyler is done, Tyler puts the book on the bed. Tyler leaves to get something to eat in the kitchen. Lisa comes in and moves the book from the bed to a table. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,End,2,2,1,Explicit
103,book,Tyler,Lisa,table,bed,"Tyler is reading a book near the bed. When Tyler is done, Tyler puts the book on the table. Tyler leaves to get something to eat in the kitchen. Lisa comes in and moves the book from the table to a bed. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,End,2,2,1,Explicit
104,book,Tyler,Lisa,table,desk,"Tyler is reading a book near the desk. When Tyler is done, Tyler puts the book on the table. Tyler leaves to get something to eat in the kitchen. Lisa comes in and moves the book from the table to a desk. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,End,2,2,1,Explicit
105,book,Tyler,Lisa,desk,table,"Tyler is reading a book near the table. When Tyler is done, Tyler puts the book on the desk. Tyler leaves to get something to eat in the kitchen. Lisa comes in and moves the book from the desk to a table. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,End,2,2,1,Explicit
