Item,Condition,Condition code,Scenario
7,3,FB-C,"Margaret washed her favourite shirt and hung it out to dry in the garden.  While Margaret was at work, Russell moved the shirt to the hall. When Margaret wanted to find the shirt she looked in the garden."
7,4,FB-IC,"Margaret washed her favourite shirt and hung it out to dry in the garden.  While Margaret was at work, Russell moved the shirt to the hall. When Margaret wanted to find the shirt she looked in the hall."
8,1,TB-C,"Julie entered the classroom and put her finished homework in her drawer.  Later, Julie spotted Maxine move the homework to her bag. When Julie wanted to check her homework she looked in the bag."
8,2,TB-IC,"Julie entered the classroom and put her finished homework in her drawer.  Later, Julie spotted Maxine move the homework to her bag. When Julie wanted to check her homework she looked in the drawer."
8,3,FB-C,"Julie entered the classroom and put her finished homework in her drawer.  While Julie was distracted, Maxine jokingly moved the homework to her bag. When Julie wanted to check her homework she looked in the drawer."
8,4,FB-IC,"Julie entered the classroom and put her finished homework in her drawer.  While Julie was distracted, Maxine jokingly moved the homework to her bag. When Julie wanted to check her homework she looked in the bag."
9,1,TB-C,"Max made a cup of tea and left it to cool in the kitchen.  Later, Max spotted Sarah move the cup of tea to the lounge. When Max wanted to drink his cup of tea he looked in the lounge."
9,2,TB-IC,"Max made a cup of tea and left it to cool in the kitchen.  Later, Max spotted Sarah move the cup of tea to the lounge. When Max wanted to drink his cup of tea he looked in the kitchen."
9,3,FB-C,"Max made a cup of tea and left it to cool in the kitchen.  While Max was in the toilet, Sarah moved the cup of tea to the lounge. When Max wanted to drink his cup of tea he looked in the kitchen."
9,4,FB-IC,"Max made a cup of tea and left it to cool in the kitchen.  While Max was in the toilet, Sarah moved the cup of tea to the lounge. When Max wanted to drink his cup of tea he looked in the lounge."
10,1,TB-C,"Hannah bought a new jumper and hung it up in the bedroom.  Later, Hannah witnessed Elaine move the jumper to the landing. When Hannah wanted to wear the jumper she looked in the landing."
10,2,TB-IC,"Hannah bought a new jumper and hung it up in the bedroom.  Later, Hannah witnessed Elaine move the jumper to the landing. When Hannah wanted to wear the jumper she looked in the bedroom."
10,3,FB-C,"Hannah bought a new jumper and hung it up in the bedroom.  Without Hannah knowing, Elaine moved the jumper to the landing. When Hannah wanted to wear the jumper she looked in the bedroom."
10,4,FB-IC,"Hannah bought a new jumper and hung it up in the bedroom.  Without Hannah knowing, Elaine moved the jumper to the landing. When Hannah wanted to wear the jumper she looked in the landing."
11,1,TB-C,"Maria packed her suitcase to go on holiday and put the tickets in her drawer.  Later, Maria saw her dad move the tickets to her suitcase. When Maria wanted to check the tickets she looked in the suitcase."
11,2,TB-IC,"Maria packed her suitcase to go on holiday and put the tickets in her drawer.  Later, Maria saw her dad move the tickets to her suitcase. When Maria wanted to check the tickets she looked in the drawer."
11,3,FB-C,"Maria packed her suitcase to go on holiday and put the tickets in her drawer.  While Maria was showering, her dad moved the tickets to her suitcase. When Maria wanted to check the tickets she looked in the drawer."
11,4,FB-IC,"Maria packed her suitcase to go on holiday and put the tickets in her drawer.  While Maria was showering, her dad moved the tickets to her suitcase. When Maria wanted to check the tickets she looked in the suitcase."
12,1,TB-C,"Colin bought a bottle of whisky and put it in the kitchen.  Later, Colin noticed Angela move the whisky to the bedroom. When Colin wanted to drink the whisky he looked in the bedroom."
12,2,TB-IC,"Colin bought a bottle of whisky and put it in the kitchen.  Later, Colin noticed Angela move the whisky to the bedroom. When Colin wanted to drink the whisky he looked in the kitchen."
12,3,FB-C,"Colin bought a bottle of whisky and put it in the kitchen.  While Colin was unaware, Angela moved the whisky to the bedroom. When Colin wanted to drink the whisky he looked in the kitchen."
12,4,FB-IC,"Colin bought a bottle of whisky and put it in the kitchen.  While Colin was unaware, Angela moved the whisky to the bedroom. When Colin wanted to drink the whisky he looked in the bedroom."
13,1,TB-C,"Lauren wrote about her day in her diary every night and always kept it in a box.  One day, Lauren spied her brother move the diary to the drawer. When Lauren wanted to find her diary she looked in the drawer."
13,2,TB-IC,"Lauren wrote about her day in her diary every night and always kept it in a box.  One day, Lauren spied her brother move the diary to the drawer. When Lauren wanted to find her diary she looked in the box."
13,3,FB-C,"Lauren wrote about her day in her diary every night and always kept it in a box.  One day, Lauren’s brother secretly moved the diary to the drawer. When Lauren wanted to find her diary she looked in the box."
13,4,FB-IC,"Lauren wrote about her day in her diary every night and always kept it in a box.  One day, Lauren’s brother secretly moved the diary to the drawer. When Lauren wanted to find her diary she looked in the drawer."
14,1,TB-C,"Donna and David were shopping and saw a lovely bracelet in a jeweller’s shop.  Later, Donna saw David buy the bracelet and put it in the car. When Donna wanted to admire the bracelet again she looked in the car."
14,2,TB-IC,"Donna and David were shopping and saw a lovely bracelet in a jeweller’s shop.  Later, Donna saw David buy the bracelet and put it in the car. When Donna wanted to admire the bracelet again she looked in the shop."
14,3,FB-C,"Donna and David were shopping and saw a lovely bracelet in a jeweller’s shop.  While Donna was distracted, David bought the bracelet and put it in the car. When Donna wanted to admire the bracelet again she looked in the shop."
14,4,FB-IC,"Donna and David were shopping and saw a lovely bracelet in a jeweller’s shop.  While Donna was distracted, David bought the bracelet and put it in the car. When Donna wanted to admire the bracelet again she looked in the car."
15,1,TB-C,"Sophie returned home from shopping and hung her new dress in her kitchen.  Later, Sophie noticed Katie move the dress to the bedroom. When Sophie wanted to wear the dress she looked in the bedroom."
15,2,TB-IC,"Sophie returned home from shopping and hung her new dress in her kitchen.  Later, Sophie noticed Katie move the dress to the bedroom. When Sophie wanted to wear the dress she looked in the kitchen."
15,3,FB-C,"Sophie returned home from shopping and hung her new dress in the kitchen.  While Sophie was at work, Katie moved the dress to the bedroom. When Sophie wanted to wear the dress she looked in the kitchen."
15,4,FB-IC,"Sophie returned home from shopping and hung her new dress in the kitchen.  While Sophie was at work, Katie moved the dress to the bedroom. When Sophie wanted to wear the dress she looked in the bedroom."
16,1,TB-C,"Vicki bought a new plant to brighten up the house and put it in the kitchen.  Later, Vicki saw Graham move the plant to the conservatory. When Vicki wanted to water the plant she looked in the conservatory."
16,2,TB-IC,"Vicki bought a new plant to brighten up the house and put it in the kitchen.  Later, Vicki saw Graham move the plant to the conservatory. When Vicki wanted to water the plant she looked in the kitchen."
16,3,FB-C,"Vicki bought a new plant to brighten up the house and put it in the kitchen.  While Vicki was in the bath, Graham moved the plant to the conservatory. When Vicki wanted to water the plant she looked in the kitchen."
16,4,FB-IC,"Vicki bought a new plant to brighten up the house and put it in the kitchen.  While Vicki was in the bath, Graham moved the plant to the conservatory. When Vicki wanted to water the plant she looked in the conservatory."
17,1,TB-C,"Tracy went to school to collect her daughter and parked her car in the road.  Later, Tracy saw a tow truck tow the car to the garage. When Tracy wanted to find her car she looked in the garage."
17,2,TB-IC,"Tracy went to school to collect her daughter and parked her car in the road.  Later, Tracy saw a tow truck tow the car to the garage. When Tracy wanted to find her car she looked in the road."
17,3,FB-C,"Tracy went to school to collect her daughter and parked her car in the road.  While Tracy was inside, a tow truck towed the car to the garage. When Tracy wanted to find her car she looked in the road."
17,4,FB-IC,"Tracy went to school to collect her daughter and parked her car in the road.  While Tracy was inside, a tow truck towed the car to the garage. When Tracy wanted to find her car she looked in the garage."
18,1,TB-C,"Jamie celebrated buying the house by planting a small tree in his garden.  Later, Jamie saw his dog dig up the tree and drag it to the kennel. When Jamie wanted to see the tree he looked in the kennel."
18,2,TB-IC,"Jamie celebrated buying the house by planting a small tree in his garden.  Later, Jamie saw his dog dig up the tree and drag it to the kennel. When Jamie wanted to see the tree he looked in the garden."
18,3,FB-C,"Jamie celebrated buying the house by planting a small tree in his garden.  While Jamie was inside, his dog dug up the tree and dragged it to the kennel. When Jamie wanted to see the tree he looked in the garden."
18,4,FB-IC,"Jamie celebrated buying the house by planting a small tree in his garden.  While Jamie was inside, his dog dug up the tree and dragged it to the kennel. When Jamie wanted to see the tree he looked in the kennel."
19,1,TB-C,"Linda arrived at work and put her briefcase in the office.  Later, Linda noticed Alan move the briefcase to the canteen. When Linda wanted to check her briefcase she looked in the canteen."
19,2,TB-IC,"Linda arrived at work and put her briefcase in the office.  Later, Linda noticed Alan move the briefcase to the canteen. When Linda wanted to check her briefcase she looked in the office."
19,3,FB-C,"Linda arrived at work and put her briefcase in the office.  While Linda was unaware, Alan moved the briefcase to the canteen. When Linda wanted to check her briefcase she looked in the office."
19,4,FB-IC,"Linda arrived at work and put her briefcase in the office.  While Linda was unaware, Alan moved the briefcase to the canteen. When Linda wanted to check her briefcase she looked in the canteen."
20,1,TB-C,"Laura left the hostel for breakfast and left her rucksack in the hostel dorm.  Later, Laura saw the cleaner move the rucksack to reception. When Laura wanted to collect her rucksack she looked in the reception."
20,2,TB-IC,"Laura left the hostel for breakfast and left her rucksack in the hostel dorm.  Later, Laura saw the cleaner move the rucksack to reception. When Laura wanted to collect her rucksack she looked in the dorm."
20,3,FB-C,"Laura left the hostel for breakfast and left her rucksack in the hostel dorm.  While Laura was out, the cleaner moved the rucksack to reception. When Laura wanted to collect her rucksack she looked in the dorm."
20,4,FB-IC,"Laura left the hostel for breakfast and left her rucksack in the hostel dorm.  While Laura was out, the cleaner moved the rucksack to reception. When Laura wanted to collect her rucksack she looked in the reception."
21,1,TB-C,"Gillian cooked a casserole and left it to cool down in the oven.  Later, Gillian spotted Mark move the casserole to the fridge. When Gillian wanted to eat the casserole she looked in the fridge."
21,2,TB-IC,"Gillian cooked a casserole and left it to cool down in the oven.  Later, Gillian spotted Mark move the casserole to the fridge. When Gillian wanted to eat the casserole she looked in the oven."
21,3,FB-C,"Gillian cooked a casserole and left it to cool down in the oven.  While Gillian was not looking, Mark moved the casserole to the fridge. When Gillian wanted to eat the casserole she looked in the oven."
21,4,FB-IC,"Gillian cooked a casserole and left it to cool down in the oven.  While Gillian was not looking, Mark moved the casserole to the fridge. When Gillian wanted to eat the casserole she looked in the fridge."
22,1,TB-C,"Alice set up the new computer in the kitchen.  Later, Alice noticed Adam move the computer to the bedroom. When Alice wanted to use the computer she looked in the bedroom."
22,2,TB-IC,"Alice set up the new computer in the kitchen.  Later, Alice noticed Adam move the computer to the bedroom. When Alice wanted to use the computer she looked in the kitchen."
22,3,FB-C,"Alice set up the new computer in the kitchen.  While Alice was out, Adam moved the computer to the bedroom. When Alice wanted to use the computer she looked in the kitchen."
22,4,FB-IC,"Alice set up the new computer in the kitchen.  While Alice was out, Adam moved the computer to the bedroom. When Alice wanted to use the computer she looked in the bedroom."
23,1,TB-C,"Tony bought his Oasis concert tickets into work and put them in his desk drawer.  Later, Tony spotted Gary move the tickets to the bin. When Tony wanted to examine the tickets he looked in the bin."
23,2,TB-IC,"Tony bought his Oasis concert tickets into work and put them in his desk drawer.  Later, Tony spotted Gary move the tickets to the bin. When Tony wanted to examine the tickets he looked in the drawer."
23,3,FB-C,"Tony bought his Oasis concert tickets into work and put them in his desk drawer.  While Tony was away, Gary moved the tickets to the bin. When Tony wanted to examine the tickets he looked in the drawer."
23,4,FB-IC,"Tony bought his Oasis concert tickets into work and put them in his desk drawer.  While Tony was away, Gary moved the tickets to the bin. When Tony wanted to examine the tickets he looked in the bin."
24,1,TB-C,"Mum baked cakes for the birthday party and put them in the cupboard.  Later, Mum watched Dennis move the cakes to the marquee. When Mum wanted to taste a cake she looked in the marquee."
24,2,TB-IC,"Mum baked cakes for the birthday party and put them in the cupboard.  Later, Mum watched Dennis move the cakes to the marquee. When Mum wanted to taste a cake she looked in the cupboard."
24,3,FB-C,"Mum baked cakes for the birthday party and put them in the cupboard.  While Mum was showering, Dennis moved the cakes to the marquee. When Mum wanted to taste a cake she looked in the cupboard."
24,4,FB-IC,"Mum baked cakes for the birthday party and put them in the cupboard.  While Mum was showering, Dennis moved the cakes to the marquee. When Mum wanted to taste a cake she looked in the marquee."
25,1,TB-C,"Dennis bought the Christening present and hid it in the drawer.  Later, Dennis watched Chloe move the present to her handbag. When Dennis wanted to check the present he looked in the handbag."
25,2,TB-IC,"Dennis bought the Christening present and hid it in the drawer.  Later, Dennis watched Chloe move the present to her handbag. When Dennis wanted to check the present he looked in the drawer."
25,3,FB-C,"Dennis bought the Christening present and hid it in the drawer.  While Dennis was gardening, Chloe moved the present to her handbag. When Dennis wanted to check the present he looked in the drawer."
25,4,FB-IC,"Dennis bought the Christening present and hid it in the drawer.  While Dennis was gardening, Chloe moved the present to her handbag. When Dennis wanted to check the present he looked in the handbag."
26,1,TB-C,"Janis promised Stephen that so she would leave his book in her desk drawer.  Later, Stephen noticed that Janis had left the book in her car. When Stephen wanted to collect the book he looked in the car."
26,2,TB-IC,"Janis promised Stephen that so she would leave his book in her desk drawer.  Later, Stephen noticed that Janis had left the book in her car. When Stephen wanted to collect the book he looked in the drawer."
26,3,FB-C,Janis promised Stephen that so she would leave his book in her desk drawer.  But Janis was in a rush and left the book in her car. When Stephen wanted to collect the book he looked in the drawer.
26,4,FB-IC,Janis promised Stephen that so she would leave his book in her desk drawer.  But Janis was in a rush and left the book in her car. When Stephen wanted to collect the book he looked in the car.
27,1,TB-C,"Jasmine packed the holiday suitcases and put them in the hall.  Later, Jasmine watched Fraser move the suitcases to the car. When Jasmine wanted to check the suitcases she looked in the car."
27,2,TB-IC,"Jasmine packed the holiday suitcases and put them in the hall.  Later, Jasmine watched Fraser move the suitcases to the car. When Jasmine wanted to check the suitcases she looked in the hall."
27,3,FB-C,"Jasmine packed the holiday suitcases and put them in the hall.  While Jasmine was unaware, Fraser moved the suitcases to the car. When Jasmine wanted to check the suitcases she looked in the hall."
27,4,FB-IC,"Jasmine packed the holiday suitcases and put them in the hall.  While Jasmine was unaware, Fraser moved the suitcases to the car. When Jasmine wanted to check the suitcases she looked in the car."
28,1,TB-C,"Chris saved his psychology essay onto a disk and put it on his desk.  Later, Chris spotted Jane knock the disk onto the floor. When Chris wanted to check the disk he looked on the floor."
28,2,TB-IC,"Chris saved his psychology essay onto a disk and put it on his desk.  Later, Chris spotted Jane knock the disk onto the floor. When Chris wanted to check the disk he looked on the desk."
28,3,FB-C,"Chris saved his psychology essay onto a disk and put it on his desk.  While Chris was photocopying, Jane knocked the disk onto the floor. When Chris wanted to check the disk he looked on the desk."
28,4,FB-IC,"Chris saved his psychology essay onto a disk and put it on his desk.  While Chris was photocopying, Jane knocked the disk onto the floor. When Chris wanted to check the disk he looked on the floor."
29,1,TB-C,"Doug looked at the photo album and put it in the lounge.  Later, Doug saw Mandy move the album to the kitchen. When Doug wanted to see the album again he looked in the kitchen."
29,2,TB-IC,"Doug looked at the photo album and put it in the lounge.  Later, Doug saw Mandy move the album to the kitchen. When Doug wanted to see the album again he looked in the lounge."
29,3,FB-C,"Doug looked at the photo album and put it in the lounge.  While Doug was gardening, Mandy moved the album to the kitchen. When Doug wanted to see the album again he looked in the lounge."
29,4,FB-IC,"Doug looked at the photo album and put it in the lounge.  While Doug was gardening, Mandy moved the album to the kitchen. When Doug wanted to see the album again he looked in the kitchen."
30,1,TB-C,"Sophia flicked through the journal then put it on the chair.  Later, Sophia saw the librarian move the journal to the shelf. When Sophia wanted to read the journal she looked on the shelf."
30,2,TB-IC,"Sophia flicked through the journal then put it on the chair.  Later, Sophia saw the librarian move the journal to the shelf. When Sophia wanted to read the journal she looked on the chair."
30,3,FB-C,"Sophia flicked through the journal then put it on the chair.  While Sophia was distracted, the librarian moved the journal to the shelf. When Sophia wanted to read the journal she looked on the chair."
30,4,FB-IC,"Sophia flicked through the journal then put it on the chair.  While Sophia was distracted, the librarian moved the journal to the shelf. When Sophia wanted to read the journal she looked on the shelf."
31,1,TB-C,"Isobel entered the beautician’s room and put her jewellery on the window.  Later, Isobel spotted the therapist move the jewellery to the chair. When Isobel wanted to put her jewellery back on she looked on the chair."
31,2,TB-IC,"Isobel entered the beautician’s room and put her jewellery on the window.  Later, Isobel spotted the therapist move the jewellery to the chair. When Isobel wanted to put her jewellery back on she looked on the window."
31,3,FB-C,"Isobel entered the beautician’s room and put her jewellery on the window.  Without Isobel’s knowledge, the therapist moved the jewellery to the chair. When Isobel wanted to put her jewellery back on she looked on the window."
31,4,FB-IC,"Isobel entered the beautician’s room and put her jewellery on the window.  Without Isobel’s knowledge, the therapist moved the jewellery to the chair. When Isobel wanted to put her jewellery back on she looked on the chair."
32,1,TB-C,"Tom turned off the television and put the remote control on the sofa.  Later, Tom saw Susan move the remote control to the table. When Tom wanted to use the remote control he looked on the table."
32,2,TB-IC,"Tom turned off the television and put the remote control on the sofa.  Later, Tom saw Susan move the remote control to the table. When Tom wanted to use the remote control he looked on the sofa."
32,3,FB-C,"Tom turned off the television and put the remote control on the sofa.  While Tom was unaware, Susan moved the remote control to the table. When Tom wanted to use the remote control he looked on the sofa."
32,4,FB-IC,"Tom turned off the television and put the remote control on the sofa.  While Tom was unaware, Susan moved the remote control to the table. When Tom wanted to use the remote control he looked on the table."
33,1,TB-C,"Tristan poured his coffee and put the mug in the study.  Later, Tristan noticed his Mum move the mug to the kitchen. When Tristan wanted to find his mug he looked in the kitchen."
33,2,TB-IC,"Tristan poured his coffee and put the mug in the study.  Later, Tristan noticed his Mum move the mug to the kitchen. When Tristan wanted to find his mug he looked in the study."
33,3,FB-C,"Tristan poured his coffee and put the mug in the study.  While Tristan was not looking, his Mum moved the mug to the kitchen. When Tristan wanted to find his mug he looked in the study."
33,4,FB-IC,"Tristan poured his coffee and put the mug in the study.  While Tristan was not looking, his Mum moved the mug to the kitchen. When Tristan wanted to find his mug he looked in the kitchen."
34,1,TB-C,"Liz took off her jeans and put them on her bed.  Later, Liz spotted Ellie move the jeans to the chair. When Liz wanted to wear the jeans she looked on the chair."
34,2,TB-IC,"Liz took off her jeans and put them on her bed.  Later, Liz spotted Ellie move the jeans to the chair. When Liz wanted to wear the jeans she looked on the bed."
34,3,FB-C,"Liz took off her jeans and put them on her bed.  While Liz was preoccupied, Ellie moved the jeans to the chair. When Liz wanted to wear the jeans she looked on the bed."
34,4,FB-IC,"Liz took off her jeans and put them on her bed.  While Liz was preoccupied, Ellie moved the jeans to the chair. When Liz wanted to wear the jeans she looked on the chair."
35,1,TB-C,"Matthew sent the text message and put his mobile phone on the floor.  Later, Matthew noticed Ryan move the mobile to the table. When Matthew wanted to check his mobile he looked on the table."
35,2,TB-IC,"Matthew sent the text message and put his mobile phone on the floor.  Later, Matthew noticed Ryan move the mobile to the table. When Matthew wanted to check his mobile he looked on the floor."
35,3,FB-C,"Matthew sent the text message and put his mobile phone on the floor.  While Matthew was distracted, Ryan moved the mobile to the table. When Matthew wanted to check his mobile he looked on the floor."
35,4,FB-IC,"Matthew sent the text message and put his mobile phone on the floor.  While Matthew was distracted, Ryan moved the mobile to the table. When Matthew wanted to check his mobile he looked on the table."
36,1,TB-C,"Euan finished playing with his toy train and put it in the toy box.  Later, Euan spied his Mum move the train to the drawer. When Euan wanted to play with his train he looked in the drawer."
36,2,TB-IC,"Euan finished playing with his toy train and put it in the toy box.  Later, Euan spied his Mum move the train to the drawer. When Euan wanted to play with his train he looked in the box."
36,3,FB-C,"Euan finished playing with his toy train and put it in the toy box.  While Euan was eating dinner, his Mum moved the train to the drawer. When Euan wanted to play with his train he looked in the box."
36,4,FB-IC,"Euan finished playing with his toy train and put it in the toy box.  While Euan was eating dinner, his Mum moved the train to the drawer. When Euan wanted to play with his train he looked in the drawer."
37,1,TB-C,"Emily listened to the CD and left it in the stereo.  Later, Emily saw Rebecca move the CD to the rack. When Emily wanted to listen to the CD she looked in the rack."
37,2,TB-IC,"Emily listened to the CD and left it in the stereo.  Later, Emily saw Rebecca move the CD to the rack. When Emily wanted to listen to the CD she looked in the stereo."
37,3,FB-C,"Emily listened to the CD and left it in the stereo.  While Emily was unaware, Rebecca moved the CD to the rack. When Emily wanted to listen to the CD she looked in the stereo."
37,4,FB-IC,"Emily listened to the CD and left it in the stereo.  While Emily was unaware, Rebecca moved the CD to the rack. When Emily wanted to listen to the CD she looked in the rack."
38,1,TB-C,"Katie signed the big cheque and put it on the table.  Later, Katie observed the cleaning lady move the cheque to the television. When Katie wanted to collect the cheque she looked on the television."
38,2,TB-IC,"Katie signed the big cheque and put it on the table.  Later, Katie observed the cleaning lady move the cheque to the television. When Katie wanted to collect the cheque she looked on the table."
38,3,FB-C,"Katie signed the big cheque and put it on the table.  While Katie was preoccupied, the cleaning lady moved the cheque to the television. When Katie wanted to collect the cheque she looked on the table."
38,4,FB-IC,"Katie signed the big cheque and put it on the table.  While Katie was preoccupied, the cleaning lady moved the cheque to the television. When Katie wanted to collect the cheque she looked on the television."
39,1,TB-C,"Lynette arranged the wedding flowers and put them on the piano.  Later, Lynette spied Gary move the flowers to the table. When Lynette wanted to admire the flowers she looked on the table."
39,2,TB-IC,"Lynette arranged the wedding flowers and put them on the piano.  Later, Lynette spied Gary move the flowers to the table. When Lynette wanted to admire the flowers she looked on the piano."
39,3,FB-C,"Lynette arranged the wedding flowers and put them on the piano.  While Lynette was sidetracked, Gary moved the flowers to the table. When Lynette wanted to admire the flowers she looked on the piano."
39,4,FB-IC,"Lynette arranged the wedding flowers and put them on the piano.  While Lynette was sidetracked, Gary moved the flowers to the table. When Lynette wanted to admire the flowers she looked on the table."
40,1,TB-C,"The nurse administered the injection and put the syringe in the trolley.  Later, the nurse noticed Simon move the syringe to the sink. When the nurse wanted to check the syringe she looked in the sink."
40,2,TB-IC,"The nurse administered the injection and put the syringe in the trolley.  Later, the nurse noticed Simon move the syringe to the sink. When the nurse wanted to check the syringe she looked in the trolley."
40,3,FB-C,"The nurse administered the injection and put the syringe in the trolley.  While the nurse was distracted, Simon moved the syringe to the sink. When the nurse wanted to check the syringe she looked in the trolley."
40,4,FB-IC,"The nurse administered the injection and put the syringe in the trolley.  While the nurse was distracted, Simon moved the syringe to the sink. When the nurse wanted to check the syringe she looked in the sink."
41,1,TB-C,"The postman collected the parcel and put it in his bag.  Later, the postman witnessed a mischievous child move the parcel to the van. When the postman wanted to examine the parcel he looked in the van."
41,2,TB-IC,"The postman collected the parcel and put it in his bag.  Later, the postman witnessed a mischievous child move the parcel to the van. When the postman wanted to examine the parcel he looked in the bag."
41,3,FB-C,"The postman collected the parcel and put it in his bag.  While the postman was preoccupied, a mischievous child moved the parcel to the van. When the postman wanted to examine the parcel he looked in the bag."
41,4,FB-IC,"The postman collected the parcel and put it in his bag.  While the postman was preoccupied, a mischievous child moved the parcel to the van. When the postman wanted to examine the parcel he looked in the van."
42,1,TB-C,"The teacher folded the exam paper and put it in her drawer.  Later, the teacher watched a pupil move the exam paper to her rucksack. When the teacher wanted the exam paper she looked in the rucksack."
42,2,TB-IC,"The teacher folded the exam paper and put it in her drawer.  Later, the teacher watched a pupil move the exam paper to her rucksack. When the teacher wanted the exam paper she looked in the drawer."
42,3,FB-C,"The teacher folded the exam paper and put it in her drawer.  While the teacher was not looking, a pupil moved the exam paper to her rucksack. When the teacher wanted the exam paper she looked in the drawer."
42,4,FB-IC,"The teacher folded the exam paper and put it in her drawer.  While the teacher was not looking, a pupil moved the exam paper to her rucksack. When the teacher wanted the exam paper she looked in the rucksack."
43,1,TB-C,"The dentist cleaned the drill and put it on the table.  Later, the dentist spotted the nurse move the drill to the shelf. When the dentist wanted to use the drill he looked on the shelf."
43,2,TB-IC,"The dentist cleaned the drill and put it on the table.  Later, the dentist spotted the nurse move the drill to the shelf. When the dentist wanted to use the drill he looked on the table."
43,3,FB-C,"The dentist cleaned the drill and put it on the table.  While the dentist was busy, the nurse moved the drill to the shelf. When the dentist wanted to use the drill he looked on the table."
43,4,FB-IC,"The dentist cleaned the drill and put it on the table.  While the dentist was busy, the nurse moved the drill to the shelf. When the dentist wanted to use the drill he looked on the shelf."
