,Item,Condition,Condition code,Scenario,Modified,First_mention,Recent_mention,prior_mentions_start,prior_mentions_end,num_sentences
21,2,1,TB-C,"Mary passed by the garage. Mary planted all her seeds in trays and put them in the greenhouse.  Later, Mary spotted her husband move the plants to the garage. When Mary wanted to look at her plants she looked in the garage.",Yes,End,End,1,2,4
22,2,1,TB-C,"Mary passed by the greenhouse. Mary planted all her seeds in trays and put them in the greenhouse.  Later, Mary spotted her husband move the plants to the garage. When Mary wanted to look at her plants she looked in the garage.",Yes,Start,End,2,1,4
23,2,1,TB-C,"Mary planted all her seeds in trays and put them in the greenhouse.  Later, Mary spotted her husband move the plants to the garage. Mary was near the greenhouse. When Mary wanted to look at her plants she looked in the garage.",Yes,Start,Start,2,1,4
24,2,1,TB-C,"Mary planted all her seeds in trays and put them in the greenhouse.  Later, Mary spotted her husband move the plants to the garage. Mary was near the garage. When Mary wanted to look at her plants she looked in the garage.",Yes,Start,End,1,2,4
25,2,2,TB-IC,"Mary planted all her seeds in trays and put them in the greenhouse.  Later, Mary spotted her husband move the plants to the garage. When Mary wanted to look at her plants she looked in the greenhouse.",No,Start,End,1,1,3
26,2,2,TB-IC,"Mary passed by the garage. Mary planted all her seeds in trays and put them in the greenhouse.  Later, Mary spotted her husband move the plants to the garage. When Mary wanted to look at her plants she looked in the greenhouse.",Yes,End,End,1,2,4
27,2,2,TB-IC,"Mary passed by the greenhouse. Mary planted all her seeds in trays and put them in the greenhouse.  Later, Mary spotted her husband move the plants to the garage. When Mary wanted to look at her plants she looked in the greenhouse.",Yes,Start,End,2,1,4
28,2,2,TB-IC,"Mary planted all her seeds in trays and put them in the greenhouse.  Later, Mary spotted her husband move the plants to the garage. Mary was near the greenhouse. When Mary wanted to look at her plants she looked in the greenhouse.",Yes,Start,Start,2,1,4
29,2,2,TB-IC,"Mary planted all her seeds in trays and put them in the greenhouse.  Later, Mary spotted her husband move the plants to the garage. Mary was near the garage. When Mary wanted to look at her plants she looked in the greenhouse.",Yes,Start,End,1,2,4
30,2,3,FB-C,"Mary planted all her seeds in trays and put them in the greenhouse.  While Mary was distracted, her husband moved the plants to the garage. When Mary wanted to look at her plants she looked in the greenhouse.",No,Start,End,1,1,3
31,2,3,FB-C,"Mary passed by the garage. Mary planted all her seeds in trays and put them in the greenhouse.  While Mary was distracted, her husband moved the plants to the garage. When Mary wanted to look at her plants she looked in the greenhouse.",Yes,End,End,1,2,4
32,2,3,FB-C,"Mary passed by the greenhouse. Mary planted all her seeds in trays and put them in the greenhouse.  While Mary was distracted, her husband moved the plants to the garage. When Mary wanted to look at her plants she looked in the greenhouse.",Yes,Start,End,2,1,4
33,2,3,FB-C,"Mary planted all her seeds in trays and put them in the greenhouse.  While Mary was distracted, her husband moved the plants to the garage. Mary was near the greenhouse. When Mary wanted to look at her plants she looked in the greenhouse.",Yes,Start,Start,2,1,4
34,2,3,FB-C,"Mary planted all her seeds in trays and put them in the greenhouse.  While Mary was distracted, her husband moved the plants to the garage. Mary was near the garage. When Mary wanted to look at her plants she looked in the greenhouse.",Yes,Start,End,1,2,4
35,2,4,FB-IC,"Mary planted all her seeds in trays and put them in the greenhouse.  While Mary was distracted, her husband moved the plants to the garage. When Mary wanted to look at her plants she looked in the garage.",No,Start,End,1,1,3
36,2,4,FB-IC,"Mary passed by the garage. Mary planted all her seeds in trays and put them in the greenhouse.  While Mary was distracted, her husband moved the plants to the garage. When Mary wanted to look at her plants she looked in the garage.",Yes,End,End,1,2,4
37,2,4,FB-IC,"Mary passed by the greenhouse. Mary planted all her seeds in trays and put them in the greenhouse.  While Mary was distracted, her husband moved the plants to the garage. When Mary wanted to look at her plants she looked in the garage.",Yes,Start,End,2,1,4
38,2,4,FB-IC,"Mary planted all her seeds in trays and put them in the greenhouse.  While Mary was distracted, her husband moved the plants to the garage. Mary was near the greenhouse. When Mary wanted to look at her plants she looked in the garage.",Yes,Start,Start,2,1,4
39,2,4,FB-IC,"Mary planted all her seeds in trays and put them in the greenhouse.  While Mary was distracted, her husband moved the plants to the garage. Mary was near the garage. When Mary wanted to look at her plants she looked in the garage.",Yes,Start,End,1,2,4
40,3,1,TB-C,"Joanne folded the clean clothes and put them into the lounge.  Later, Joanne saw Alex move the clothes to the study. When Joanne wanted to iron the clothes she looked in the study.",No,Start,End,1,1,3
41,3,1,TB-C,"Joanne passed by the study. Joanne folded the clean clothes and put them into the lounge.  Later, Joanne saw Alex move the clothes to the study. When Joanne wanted to iron the clothes she looked in the study.",Yes,End,End,1,2,4
42,3,1,TB-C,"Joanne passed by the lounge. Joanne folded the clean clothes and put them into the lounge.  Later, Joanne saw Alex move the clothes to the study. When Joanne wanted to iron the clothes she looked in the study.",Yes,Start,End,2,1,4
43,3,1,TB-C,"Joanne folded the clean clothes and put them into the lounge.  Later, Joanne saw Alex move the clothes to the study. Joanne was near the lounge. When Joanne wanted to iron the clothes she looked in the study.",Yes,Start,Start,2,1,4
44,3,1,TB-C,"Joanne folded the clean clothes and put them into the lounge.  Later, Joanne saw Alex move the clothes to the study. Joanne was near the study. When Joanne wanted to iron the clothes she looked in the study.",Yes,Start,End,1,2,4
45,3,2,TB-IC,"Joanne folded the clean clothes and put them into the lounge.  Later, Joanne saw Alex move the clothes to the study. When Joanne wanted to iron the clothes she looked in the lounge.",No,Start,End,1,1,3
46,3,2,TB-IC,"Joanne passed by the study. Joanne folded the clean clothes and put them into the lounge.  Later, Joanne saw Alex move the clothes to the study. When Joanne wanted to iron the clothes she looked in the lounge.",Yes,End,End,1,2,4
47,3,2,TB-IC,"Joanne passed by the lounge. Joanne folded the clean clothes and put them into the lounge.  Later, Joanne saw Alex move the clothes to the study. When Joanne wanted to iron the clothes she looked in the lounge.",Yes,Start,End,2,1,4
48,3,2,TB-IC,"Joanne folded the clean clothes and put them into the lounge.  Later, Joanne saw Alex move the clothes to the study. Joanne was near the lounge. When Joanne wanted to iron the clothes she looked in the lounge.",Yes,Start,Start,2,1,4
49,3,2,TB-IC,"Joanne folded the clean clothes and put them into the lounge.  Later, Joanne saw Alex move the clothes to the study. Joanne was near the study. When Joanne wanted to iron the clothes she looked in the lounge.",Yes,Start,End,1,2,4
50,3,3,FB-C,"Joanne folded the clean clothes and put them into the lounge.  But while Joanne was cooking, Alex moved the clothes to the study. When Joanne wanted to iron the clothes she looked in the lounge.",No,Start,End,1,1,3
51,3,3,FB-C,"Joanne passed by the study. Joanne folded the clean clothes and put them into the lounge.  But while Joanne was cooking, Alex moved the clothes to the study. When Joanne wanted to iron the clothes she looked in the lounge.",Yes,End,End,1,2,4
52,3,3,FB-C,"Joanne passed by the lounge. Joanne folded the clean clothes and put them into the lounge.  But while Joanne was cooking, Alex moved the clothes to the study. When Joanne wanted to iron the clothes she looked in the lounge.",Yes,Start,End,2,1,4
53,3,3,FB-C,"Joanne folded the clean clothes and put them into the lounge.  But while Joanne was cooking, Alex moved the clothes to the study. Joanne was near the lounge. When Joanne wanted to iron the clothes she looked in the lounge.",Yes,Start,Start,2,1,4
54,3,3,FB-C,"Joanne folded the clean clothes and put them into the lounge.  But while Joanne was cooking, Alex moved the clothes to the study. Joanne was near the study. When Joanne wanted to iron the clothes she looked in the lounge.",Yes,Start,End,1,2,4
55,3,4,FB-IC,"Joanne folded the clean clothes and put them into the lounge.  But while Joanne was cooking, Alex moved the clothes to the study. When Joanne wanted to iron the clothes she looked in the study.",No,Start,End,1,1,3
56,3,4,FB-IC,"Joanne passed by the study. Joanne folded the clean clothes and put them into the lounge.  But while Joanne was cooking, Alex moved the clothes to the study. When Joanne wanted to iron the clothes she looked in the study.",Yes,End,End,1,2,4
57,3,4,FB-IC,"Joanne passed by the lounge. Joanne folded the clean clothes and put them into the lounge.  But while Joanne was cooking, Alex moved the clothes to the study. When Joanne wanted to iron the clothes she looked in the study.",Yes,Start,End,2,1,4
58,3,4,FB-IC,"Joanne folded the clean clothes and put them into the lounge.  But while Joanne was cooking, Alex moved the clothes to the study. Joanne was near the lounge. When Joanne wanted to iron the clothes she looked in the study.",Yes,Start,Start,2,1,4
59,3,4,FB-IC,"Joanne folded the clean clothes and put them into the lounge.  But while Joanne was cooking, Alex moved the clothes to the study. Joanne was near the study. When Joanne wanted to iron the clothes she looked in the study.",Yes,Start,End,1,2,4
60,4,1,TB-C,"John washed the dishes after his breakfast and left his watch in the kitchen.  Later, John noticed Victoria move the watch to the bedroom. When John wanted to find his watch he looked in the bedroom.",No,Start,End,1,1,3
61,4,1,TB-C,"John passed by the bedroom. John washed the dishes after his breakfast and left his watch in the kitchen.  Later, John noticed Victoria move the watch to the bedroom. When John wanted to find his watch he looked in the bedroom.",Yes,End,End,1,2,4
62,4,1,TB-C,"John passed by the kitchen. John washed the dishes after his breakfast and left his watch in the kitchen.  Later, John noticed Victoria move the watch to the bedroom. When John wanted to find his watch he looked in the bedroom.",Yes,Start,End,2,1,4
63,4,1,TB-C,"John washed the dishes after his breakfast and left his watch in the kitchen.  Later, John noticed Victoria move the watch to the bedroom. John was near the kitchen. When John wanted to find his watch he looked in the bedroom.",Yes,Start,Start,2,1,4
64,4,1,TB-C,"John washed the dishes after his breakfast and left his watch in the kitchen.  Later, John noticed Victoria move the watch to the bedroom. John was near the bedroom. When John wanted to find his watch he looked in the bedroom.",Yes,Start,End,1,2,4
65,4,2,TB-IC,"John washed the dishes after his breakfast and left his watch in the kitchen.  Later, John noticed Victoria move the watch to the bedroom. When John wanted to find his watch he looked in the kitchen.",No,Start,End,1,1,3
66,4,2,TB-IC,"John passed by the bedroom. John washed the dishes after his breakfast and left his watch in the kitchen.  Later, John noticed Victoria move the watch to the bedroom. When John wanted to find his watch he looked in the kitchen.",Yes,End,End,1,2,4
67,4,2,TB-IC,"John passed by the kitchen. John washed the dishes after his breakfast and left his watch in the kitchen.  Later, John noticed Victoria move the watch to the bedroom. When John wanted to find his watch he looked in the kitchen.",Yes,Start,End,2,1,4
68,4,2,TB-IC,"John washed the dishes after his breakfast and left his watch in the kitchen.  Later, John noticed Victoria move the watch to the bedroom. John was near the kitchen. When John wanted to find his watch he looked in the kitchen.",Yes,Start,Start,2,1,4
69,4,2,TB-IC,"John washed the dishes after his breakfast and left his watch in the kitchen.  Later, John noticed Victoria move the watch to the bedroom. John was near the bedroom. When John wanted to find his watch he looked in the kitchen.",Yes,Start,End,1,2,4
70,4,3,FB-C,"John washed the dishes after his breakfast and left his watch in the kitchen.  While John was dressing, Victoria moved the watch to the bedroom. When John wanted to find his watch he looked in the kitchen.",No,Start,End,1,1,3
71,4,3,FB-C,"John passed by the bedroom. John washed the dishes after his breakfast and left his watch in the kitchen.  While John was dressing, Victoria moved the watch to the bedroom. When John wanted to find his watch he looked in the kitchen.",Yes,End,End,1,2,4
72,4,3,FB-C,"John passed by the kitchen. John washed the dishes after his breakfast and left his watch in the kitchen.  While John was dressing, Victoria moved the watch to the bedroom. When John wanted to find his watch he looked in the kitchen.",Yes,Start,End,2,1,4
73,4,3,FB-C,"John washed the dishes after his breakfast and left his watch in the kitchen.  While John was dressing, Victoria moved the watch to the bedroom. John was near the kitchen. When John wanted to find his watch he looked in the kitchen.",Yes,Start,Start,2,1,4
74,4,3,FB-C,"John washed the dishes after his breakfast and left his watch in the kitchen.  While John was dressing, Victoria moved the watch to the bedroom. John was near the bedroom. When John wanted to find his watch he looked in the kitchen.",Yes,Start,End,1,2,4
75,4,4,FB-IC,"John washed the dishes after his breakfast and left his watch in the kitchen.  While John was dressing, Victoria moved the watch to the bedroom. When John wanted to find his watch he looked in the bedroom.",No,Start,End,1,1,3
76,4,4,FB-IC,"John passed by the bedroom. John washed the dishes after his breakfast and left his watch in the kitchen.  While John was dressing, Victoria moved the watch to the bedroom. When John wanted to find his watch he looked in the bedroom.",Yes,End,End,1,2,4
77,4,4,FB-IC,"John passed by the kitchen. John washed the dishes after his breakfast and left his watch in the kitchen.  While John was dressing, Victoria moved the watch to the bedroom. When John wanted to find his watch he looked in the bedroom.",Yes,Start,End,2,1,4
78,4,4,FB-IC,"John washed the dishes after his breakfast and left his watch in the kitchen.  While John was dressing, Victoria moved the watch to the bedroom. John was near the kitchen. When John wanted to find his watch he looked in the bedroom.",Yes,Start,Start,2,1,4
79,4,4,FB-IC,"John washed the dishes after his breakfast and left his watch in the kitchen.  While John was dressing, Victoria moved the watch to the bedroom. John was near the bedroom. When John wanted to find his watch he looked in the bedroom.",Yes,Start,End,1,2,4
80,5,1,TB-C,"Mum bought the Christmas presents and hid them all in the bedroom.  Later, Mum watched Dad move the presents to the loft. When Mum wanted to see the presents again she looked in the loft.",No,Start,End,1,1,3
81,5,1,TB-C,"Mum passed by the loft. Mum bought the Christmas presents and hid them all in the bedroom.  Later, Mum watched Dad move the presents to the loft. When Mum wanted to see the presents again she looked in the loft.",Yes,End,End,1,2,4
82,5,1,TB-C,"Mum passed by the bedroom. Mum bought the Christmas presents and hid them all in the bedroom.  Later, Mum watched Dad move the presents to the loft. When Mum wanted to see the presents again she looked in the loft.",Yes,Start,End,2,1,4
83,5,1,TB-C,"Mum bought the Christmas presents and hid them all in the bedroom.  Later, Mum watched Dad move the presents to the loft. Mum was near the bedroom. When Mum wanted to see the presents again she looked in the loft.",Yes,Start,Start,2,1,4
84,5,1,TB-C,"Mum bought the Christmas presents and hid them all in the bedroom.  Later, Mum watched Dad move the presents to the loft. Mum was near the loft. When Mum wanted to see the presents again she looked in the loft.",Yes,Start,End,1,2,4
85,5,2,TB-IC,"Mum bought the Christmas presents and hid them all in the bedroom.  Later, Mum watched Dad move the presents to the loft. When Mum wanted to see the presents again she looked in the bedroom.",No,Start,End,1,1,3
86,5,2,TB-IC,"Mum passed by the loft. Mum bought the Christmas presents and hid them all in the bedroom.  Later, Mum watched Dad move the presents to the loft. When Mum wanted to see the presents again she looked in the bedroom.",Yes,End,End,1,2,4
87,5,2,TB-IC,"Mum passed by the bedroom. Mum bought the Christmas presents and hid them all in the bedroom.  Later, Mum watched Dad move the presents to the loft. When Mum wanted to see the presents again she looked in the bedroom.",Yes,Start,End,2,1,4
88,5,2,TB-IC,"Mum bought the Christmas presents and hid them all in the bedroom.  Later, Mum watched Dad move the presents to the loft. Mum was near the bedroom. When Mum wanted to see the presents again she looked in the bedroom.",Yes,Start,Start,2,1,4
89,5,2,TB-IC,"Mum bought the Christmas presents and hid them all in the bedroom.  Later, Mum watched Dad move the presents to the loft. Mum was near the loft. When Mum wanted to see the presents again she looked in the bedroom.",Yes,Start,End,1,2,4
90,5,3,FB-C,"Mum bought the Christmas presents and hid them all in the bedroom.  While Mum was busy, Dad moved the presents to the loft. When Mum wanted to see the presents again she looked in the bedroom.",No,Start,End,1,1,3
91,5,3,FB-C,"Mum passed by the loft. Mum bought the Christmas presents and hid them all in the bedroom.  While Mum was busy, Dad moved the presents to the loft. When Mum wanted to see the presents again she looked in the bedroom.",Yes,End,End,1,2,4
92,5,3,FB-C,"Mum passed by the bedroom. Mum bought the Christmas presents and hid them all in the bedroom.  While Mum was busy, Dad moved the presents to the loft. When Mum wanted to see the presents again she looked in the bedroom.",Yes,Start,End,2,1,4
93,5,3,FB-C,"Mum bought the Christmas presents and hid them all in the bedroom.  While Mum was busy, Dad moved the presents to the loft. Mum was near the bedroom. When Mum wanted to see the presents again she looked in the bedroom.",Yes,Start,Start,2,1,4
94,5,3,FB-C,"Mum bought the Christmas presents and hid them all in the bedroom.  While Mum was busy, Dad moved the presents to the loft. Mum was near the loft. When Mum wanted to see the presents again she looked in the bedroom.",Yes,Start,End,1,2,4
95,5,4,FB-IC,"Mum bought the Christmas presents and hid them all in the bedroom.  While Mum was busy, Dad moved the presents to the loft. When Mum wanted to see the presents again she looked in the loft.",No,Start,End,1,1,3
96,5,4,FB-IC,"Mum passed by the loft. Mum bought the Christmas presents and hid them all in the bedroom.  While Mum was busy, Dad moved the presents to the loft. When Mum wanted to see the presents again she looked in the loft.",Yes,End,End,1,2,4
97,5,4,FB-IC,"Mum passed by the bedroom. Mum bought the Christmas presents and hid them all in the bedroom.  While Mum was busy, Dad moved the presents to the loft. When Mum wanted to see the presents again she looked in the loft.",Yes,Start,End,2,1,4
98,5,4,FB-IC,"Mum bought the Christmas presents and hid them all in the bedroom.  While Mum was busy, Dad moved the presents to the loft. Mum was near the bedroom. When Mum wanted to see the presents again she looked in the loft.",Yes,Start,Start,2,1,4
99,5,4,FB-IC,"Mum bought the Christmas presents and hid them all in the bedroom.  While Mum was busy, Dad moved the presents to the loft. Mum was near the loft. When Mum wanted to see the presents again she looked in the loft.",Yes,Start,End,1,2,4
100,6,1,TB-C,"Kevin returned shops and put the chocolate in the fridge.  Later, Kevin noticed Jessica move the chocolate to her handbag. When Kevin wanted to eat the chocolate he looked in the handbag.",No,Start,End,1,1,3
101,6,1,TB-C,"Kevin passed by the handbag. Kevin returned shops and put the chocolate in the fridge.  Later, Kevin noticed Jessica move the chocolate to her handbag. When Kevin wanted to eat the chocolate he looked in the handbag.",Yes,End,End,1,2,4
102,6,1,TB-C,"Kevin passed by the fridge. Kevin returned shops and put the chocolate in the fridge.  Later, Kevin noticed Jessica move the chocolate to her handbag. When Kevin wanted to eat the chocolate he looked in the handbag.",Yes,Start,End,2,1,4
103,6,1,TB-C,"Kevin returned shops and put the chocolate in the fridge.  Later, Kevin noticed Jessica move the chocolate to her handbag. Kevin was near the fridge. When Kevin wanted to eat the chocolate he looked in the handbag.",Yes,Start,Start,2,1,4
104,6,1,TB-C,"Kevin returned shops and put the chocolate in the fridge.  Later, Kevin noticed Jessica move the chocolate to her handbag. Kevin was near the handbag. When Kevin wanted to eat the chocolate he looked in the handbag.",Yes,Start,End,1,2,4
105,6,2,TB-IC,"Kevin returned shops and put the chocolate in the fridge.  Later, Kevin noticed Jessica move the chocolate to her handbag. When Kevin wanted to eat the chocolate he looked in the fridge.",No,Start,End,1,1,3
106,6,2,TB-IC,"Kevin passed by the handbag. Kevin returned shops and put the chocolate in the fridge.  Later, Kevin noticed Jessica move the chocolate to her handbag. When Kevin wanted to eat the chocolate he looked in the fridge.",Yes,End,End,1,2,4
107,6,2,TB-IC,"Kevin passed by the fridge. Kevin returned shops and put the chocolate in the fridge.  Later, Kevin noticed Jessica move the chocolate to her handbag. When Kevin wanted to eat the chocolate he looked in the fridge.",Yes,Start,End,2,1,4
108,6,2,TB-IC,"Kevin returned shops and put the chocolate in the fridge.  Later, Kevin noticed Jessica move the chocolate to her handbag. Kevin was near the fridge. When Kevin wanted to eat the chocolate he looked in the fridge.",Yes,Start,Start,2,1,4
109,6,2,TB-IC,"Kevin returned shops and put the chocolate in the fridge.  Later, Kevin noticed Jessica move the chocolate to her handbag. Kevin was near the handbag. When Kevin wanted to eat the chocolate he looked in the fridge.",Yes,Start,End,1,2,4
110,6,3,FB-C,"Kevin returned shops and put the chocolate in the fridge.  While Kevin was out, Jessica moved the chocolate to her handbag. When Kevin wanted to eat the chocolate he looked in the fridge.",No,Start,End,1,1,3
111,6,3,FB-C,"Kevin passed by the handbag. Kevin returned shops and put the chocolate in the fridge.  While Kevin was out, Jessica moved the chocolate to her handbag. When Kevin wanted to eat the chocolate he looked in the fridge.",Yes,End,End,1,2,4
112,6,3,FB-C,"Kevin passed by the fridge. Kevin returned shops and put the chocolate in the fridge.  While Kevin was out, Jessica moved the chocolate to her handbag. When Kevin wanted to eat the chocolate he looked in the fridge.",Yes,Start,End,2,1,4
113,6,3,FB-C,"Kevin returned shops and put the chocolate in the fridge.  While Kevin was out, Jessica moved the chocolate to her handbag. Kevin was near the fridge. When Kevin wanted to eat the chocolate he looked in the fridge.",Yes,Start,Start,2,1,4
114,6,3,FB-C,"Kevin returned shops and put the chocolate in the fridge.  While Kevin was out, Jessica moved the chocolate to her handbag. Kevin was near the handbag. When Kevin wanted to eat the chocolate he looked in the fridge.",Yes,Start,End,1,2,4
115,6,4,FB-IC,"Kevin returned shops and put the chocolate in the fridge.  While Kevin was out, Jessica moved the chocolate to her handbag. When Kevin wanted to eat the chocolate he looked in the handbag.",No,Start,End,1,1,3
116,6,4,FB-IC,"Kevin passed by the handbag. Kevin returned shops and put the chocolate in the fridge.  While Kevin was out, Jessica moved the chocolate to her handbag. When Kevin wanted to eat the chocolate he looked in the handbag.",Yes,End,End,1,2,4
117,6,4,FB-IC,"Kevin passed by the fridge. Kevin returned shops and put the chocolate in the fridge.  While Kevin was out, Jessica moved the chocolate to her handbag. When Kevin wanted to eat the chocolate he looked in the handbag.",Yes,Start,End,2,1,4
118,6,4,FB-IC,"Kevin returned shops and put the chocolate in the fridge.  While Kevin was out, Jessica moved the chocolate to her handbag. Kevin was near the fridge. When Kevin wanted to eat the chocolate he looked in the handbag.",Yes,Start,Start,2,1,4
119,6,4,FB-IC,"Kevin returned shops and put the chocolate in the fridge.  While Kevin was out, Jessica moved the chocolate to her handbag. Kevin was near the handbag. When Kevin wanted to eat the chocolate he looked in the handbag.",Yes,Start,End,1,2,4
120,7,1,TB-C,"Margaret washed her favourite shirt and hung it out to dry in the garden.  Later, Margaret spotted Russell move the shirt to the hall. When Margaret wanted to find the shirt she looked in the hall.",No,Start,End,1,1,3
121,7,1,TB-C,"Margaret passed by the hall. Margaret washed her favourite shirt and hung it out to dry in the garden.  Later, Margaret spotted Russell move the shirt to the hall. When Margaret wanted to find the shirt she looked in the hall.",Yes,End,End,1,2,4
122,7,1,TB-C,"Margaret passed by the garden. Margaret washed her favourite shirt and hung it out to dry in the garden.  Later, Margaret spotted Russell move the shirt to the hall. When Margaret wanted to find the shirt she looked in the hall.",Yes,Start,End,2,1,4
123,7,1,TB-C,"Margaret washed her favourite shirt and hung it out to dry in the garden.  Later, Margaret spotted Russell move the shirt to the hall. Margaret was near the garden. When Margaret wanted to find the shirt she looked in the hall.",Yes,Start,Start,2,1,4
124,7,1,TB-C,"Margaret washed her favourite shirt and hung it out to dry in the garden.  Later, Margaret spotted Russell move the shirt to the hall. Margaret was near the hall. When Margaret wanted to find the shirt she looked in the hall.",Yes,Start,End,1,2,4
125,7,2,TB-IC,"Margaret washed her favourite shirt and hung it out to dry in the garden.  Later, Margaret spotted Russell move the shirt to the hall. When Margaret wanted to find the shirt she looked in the garden.",No,Start,End,1,1,3
126,7,2,TB-IC,"Margaret passed by the hall. Margaret washed her favourite shirt and hung it out to dry in the garden.  Later, Margaret spotted Russell move the shirt to the hall. When Margaret wanted to find the shirt she looked in the garden.",Yes,End,End,1,2,4
127,7,2,TB-IC,"Margaret passed by the garden. Margaret washed her favourite shirt and hung it out to dry in the garden.  Later, Margaret spotted Russell move the shirt to the hall. When Margaret wanted to find the shirt she looked in the garden.",Yes,Start,End,2,1,4
128,7,2,TB-IC,"Margaret washed her favourite shirt and hung it out to dry in the garden.  Later, Margaret spotted Russell move the shirt to the hall. Margaret was near the garden. When Margaret wanted to find the shirt she looked in the garden.",Yes,Start,Start,2,1,4
129,7,2,TB-IC,"Margaret washed her favourite shirt and hung it out to dry in the garden.  Later, Margaret spotted Russell move the shirt to the hall. Margaret was near the hall. When Margaret wanted to find the shirt she looked in the garden.",Yes,Start,End,1,2,4
130,7,3,FB-C,"Margaret washed her favourite shirt and hung it out to dry in the garden.  While Margaret was at work, Russell moved the shirt to the hall. When Margaret wanted to find the shirt she looked in the garden.",No,Start,End,1,1,3
