,Unnamed: 0,item,a,b,start,end,passage,condition,first_mention,mentions_start,mentions_end,stim_number,knowledge_cue,log_odds
52,52,book,Tyler,James,desk,bed,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the desk. James comes into the room. Tyler watches James move the book from the desk to a bed. Tyler thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit,-0.9694681244273009
53,53,book,Tyler,James,bed,desk,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the bed. James comes into the room. Tyler watches James move the book from the bed to a desk. Tyler thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit,3.5559297053887478
54,54,book,Tyler,Catherine,bed,table,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the bed. Catherine comes into the room. Tyler watches Catherine move the book from the bed to a table. Tyler thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit,2.6787300116363246
55,55,book,Tyler,Catherine,table,bed,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the table. Catherine comes into the room. Tyler watches Catherine move the book from the table to a bed. Tyler thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit,0.517333958740833
56,56,book,Tyler,Catherine,table,desk,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the table. Catherine comes into the room. Tyler watches Catherine move the book from the table to a desk. Tyler thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit,3.7536821448866053
57,57,book,Tyler,Catherine,desk,table,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the desk. Catherine comes into the room. Tyler watches Catherine move the book from the desk to a table. Tyler thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit,-0.2495117462314249
58,58,book,Tyler,Catherine,desk,bed,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the desk. Catherine comes into the room. Tyler watches Catherine move the book from the desk to a bed. Tyler thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit,-1.081748010348099
59,59,book,Tyler,Catherine,bed,desk,"Tyler is reading a book. When Tyler is done, Tyler puts the book on the bed. Catherine comes into the room. Tyler watches Catherine move the book from the bed to a desk. Tyler thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit,3.54596853137906
60,60,book,Ben,Cameron,bed,table,"Ben is reading a book. When Ben is done, Ben puts the book on the bed. Cameron comes into the room. Ben watches Cameron move the book from the bed to a table. Ben thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit,1.6489076795903048
61,61,book,Ben,Cameron,table,bed,"Ben is reading a book. When Ben is done, Ben puts the book on the table. Cameron comes into the room. Ben watches Cameron move the book from the table to a bed. Ben thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit,-1.0709800347451564
62,62,book,Ben,Cameron,table,desk,"Ben is reading a book. When Ben is done, Ben puts the book on the table. Cameron comes into the room. Ben watches Cameron move the book from the table to a desk. Ben thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit,2.576939607347811
63,63,book,Ben,Cameron,desk,table,"Ben is reading a book. When Ben is done, Ben puts the book on the desk. Cameron comes into the room. Ben watches Cameron move the book from the desk to a table. Ben thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit,-1.068221163434273
64,64,book,Ben,Cameron,desk,bed,"Ben is reading a book. When Ben is done, Ben puts the book on the desk. Cameron comes into the room. Ben watches Cameron move the book from the desk to a bed. Ben thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit,-2.1089973167462746
65,65,book,Ben,Cameron,bed,desk,"Ben is reading a book. When Ben is done, Ben puts the book on the bed. Cameron comes into the room. Ben watches Cameron move the book from the bed to a desk. Ben thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit,1.766303007980189
66,66,book,Ben,James,bed,table,"Ben is reading a book. When Ben is done, Ben puts the book on the bed. James comes into the room. Ben watches James move the book from the bed to a table. Ben thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit,2.300709716809693
67,67,book,Ben,James,table,bed,"Ben is reading a book. When Ben is done, Ben puts the book on the table. James comes into the room. Ben watches James move the book from the table to a bed. Ben thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit,-0.28860371813664515
68,68,book,Ben,James,table,desk,"Ben is reading a book. When Ben is done, Ben puts the book on the table. James comes into the room. Ben watches James move the book from the table to a desk. Ben thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit,3.5070324165368025
69,69,book,Ben,James,desk,table,"Ben is reading a book. When Ben is done, Ben puts the book on the desk. James comes into the room. Ben watches James move the book from the desk to a table. Ben thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit,-0.7384967569774213
70,70,book,Ben,James,desk,bed,"Ben is reading a book. When Ben is done, Ben puts the book on the desk. James comes into the room. Ben watches James move the book from the desk to a bed. Ben thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit,-1.5286961076964405
71,71,book,Ben,James,bed,desk,"Ben is reading a book. When Ben is done, Ben puts the book on the bed. James comes into the room. Ben watches James move the book from the bed to a desk. Ben thinks the book is on the [MASK] .",True belief,Start,2,1,1,Explicit,3.401380947520357
72,72,magazine,Cameron,Catherine,bed,table,"Cameron is reading a magazine. When Cameron is done, Cameron puts the magazine on the bed. Catherine comes into the room. Cameron watches Catherine move the magazine from the bed to a table. Cameron thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit,1.8726835905759989
73,73,magazine,Cameron,Catherine,table,bed,"Cameron is reading a magazine. When Cameron is done, Cameron puts the magazine on the table. Catherine comes into the room. Cameron watches Catherine move the magazine from the table to a bed. Cameron thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit,1.2483796700047318
74,74,magazine,Cameron,Catherine,table,desk,"Cameron is reading a magazine. When Cameron is done, Cameron puts the magazine on the table. Catherine comes into the room. Cameron watches Catherine move the magazine from the table to a desk. Cameron thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit,4.577339123752179
75,75,magazine,Cameron,Catherine,desk,table,"Cameron is reading a magazine. When Cameron is done, Cameron puts the magazine on the desk. Catherine comes into the room. Cameron watches Catherine move the magazine from the desk to a table. Cameron thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit,-0.6649666310425664
76,76,magazine,Cameron,Catherine,desk,bed,"Cameron is reading a magazine. When Cameron is done, Cameron puts the magazine on the desk. Catherine comes into the room. Cameron watches Catherine move the magazine from the desk to a bed. Cameron thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit,-0.15641307519435785
77,77,magazine,Cameron,Catherine,bed,desk,"Cameron is reading a magazine. When Cameron is done, Cameron puts the magazine on the bed. Catherine comes into the room. Cameron watches Catherine move the magazine from the bed to a desk. Cameron thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit,4.097583248549478
78,78,magazine,Cameron,Sonja,bed,table,"Cameron is reading a magazine. When Cameron is done, Cameron puts the magazine on the bed. Sonja comes into the room. Cameron watches Sonja move the magazine from the bed to a table. Cameron thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit,1.3606138349121024
79,79,magazine,Cameron,Sonja,table,bed,"Cameron is reading a magazine. When Cameron is done, Cameron puts the magazine on the table. Sonja comes into the room. Cameron watches Sonja move the magazine from the table to a bed. Cameron thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit,0.3386640522886691
80,80,magazine,Cameron,Sonja,table,desk,"Cameron is reading a magazine. When Cameron is done, Cameron puts the magazine on the table. Sonja comes into the room. Cameron watches Sonja move the magazine from the table to a desk. Cameron thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit,4.307394071108754
81,81,magazine,Cameron,Sonja,desk,table,"Cameron is reading a magazine. When Cameron is done, Cameron puts the magazine on the desk. Sonja comes into the room. Cameron watches Sonja move the magazine from the desk to a table. Cameron thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit,-0.531637267115313
82,82,magazine,Cameron,Sonja,desk,bed,"Cameron is reading a magazine. When Cameron is done, Cameron puts the magazine on the desk. Sonja comes into the room. Cameron watches Sonja move the magazine from the desk to a bed. Cameron thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit,-0.11950202526645816
83,83,magazine,Cameron,Sonja,bed,desk,"Cameron is reading a magazine. When Cameron is done, Cameron puts the magazine on the bed. Sonja comes into the room. Cameron watches Sonja move the magazine from the bed to a desk. Cameron thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit,3.106613646932735
84,84,magazine,James,Pamela,bed,table,"James is reading a magazine. When James is done, James puts the magazine on the bed. Pamela comes into the room. James watches Pamela move the magazine from the bed to a table. James thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit,1.9808579112815923
85,85,magazine,James,Pamela,table,bed,"James is reading a magazine. When James is done, James puts the magazine on the table. Pamela comes into the room. James watches Pamela move the magazine from the table to a bed. James thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit,1.907420126519994
86,86,magazine,James,Pamela,table,desk,"James is reading a magazine. When James is done, James puts the magazine on the table. Pamela comes into the room. James watches Pamela move the magazine from the table to a desk. James thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit,4.65231420734982
87,87,magazine,James,Pamela,desk,table,"James is reading a magazine. When James is done, James puts the magazine on the desk. Pamela comes into the room. James watches Pamela move the magazine from the desk to a table. James thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit,-0.5326509169537459
88,88,magazine,James,Pamela,desk,bed,"James is reading a magazine. When James is done, James puts the magazine on the desk. Pamela comes into the room. James watches Pamela move the magazine from the desk to a bed. James thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit,0.3370913687175402
89,89,magazine,James,Pamela,bed,desk,"James is reading a magazine. When James is done, James puts the magazine on the bed. Pamela comes into the room. James watches Pamela move the magazine from the bed to a desk. James thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit,3.7939734108418848
90,90,magazine,James,Antonio,bed,table,"James is reading a magazine. When James is done, James puts the magazine on the bed. Antonio comes into the room. James watches Antonio move the magazine from the bed to a table. James thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit,1.943703578095422
91,91,magazine,James,Antonio,table,bed,"James is reading a magazine. When James is done, James puts the magazine on the table. Antonio comes into the room. James watches Antonio move the magazine from the table to a bed. James thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit,0.5685014723534341
92,92,magazine,James,Antonio,table,desk,"James is reading a magazine. When James is done, James puts the magazine on the table. Antonio comes into the room. James watches Antonio move the magazine from the table to a desk. James thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit,3.9679608632531975
93,93,magazine,James,Antonio,desk,table,"James is reading a magazine. When James is done, James puts the magazine on the desk. Antonio comes into the room. James watches Antonio move the magazine from the desk to a table. James thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit,-0.4729013868337362
94,94,magazine,James,Antonio,desk,bed,"James is reading a magazine. When James is done, James puts the magazine on the desk. Antonio comes into the room. James watches Antonio move the magazine from the desk to a bed. James thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit,-0.02936555844923884
95,95,magazine,James,Antonio,bed,desk,"James is reading a magazine. When James is done, James puts the magazine on the bed. Antonio comes into the room. James watches Antonio move the magazine from the bed to a desk. James thinks the magazine is on the [MASK] .",True belief,Start,2,1,1,Explicit,4.094161455767737
96,96,book,Tyler,Pamela,bed,table,"Tyler is reading a book near the table. When Tyler is done, Tyler puts the book on the bed. Tyler leaves to get something to eat in the kitchen. Pamela comes in and moves the book from the bed to a table. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,End,2,2,1,Explicit,2.96322252014513
97,97,book,Tyler,Pamela,table,bed,"Tyler is reading a book near the bed. When Tyler is done, Tyler puts the book on the table. Tyler leaves to get something to eat in the kitchen. Pamela comes in and moves the book from the table to a bed. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,End,2,2,1,Explicit,2.7586794146723634
98,98,book,Tyler,Pamela,table,desk,"Tyler is reading a book near the desk. When Tyler is done, Tyler puts the book on the table. Tyler leaves to get something to eat in the kitchen. Pamela comes in and moves the book from the table to a desk. Then Tyler comes back into the room. Tyler thinks the book is on the [MASK] .",False belief,End,2,2,1,Explicit,5.002697972091774
