,Unnamed: 0,Item,Condition,Condition code,Scenario,Modified,First_mention,Recent_mention,prior_mentions_start,prior_mentions_end,num_sentences,probability,belief,consistency,final_word,masked_passages
10,10,1,3,FB-C,"Janet unpacked the belongings and put the painting in the hall.  While Janet was busy, Barry moved the painting to the kitchen. When Janet wanted to see the painting she looked in the hall.",No,Start,End,1,1,3,0.09458736330270769,FB,C,hall,"Janet unpacked the belongings and put the painting in the hall.  While Janet was busy, Barry moved the painting to the kitchen. When Janet wanted to see the painting she looked in the [MASK] ."
11,11,1,3,FB-C,"Janet passed by the kitchen. Janet unpacked the belongings and put the painting in the hall.  While Janet was busy, Barry moved the painting to the kitchen. When Janet wanted to see the painting she looked in the hall.",Yes,End,End,1,2,4,0.6823710203170776,FB,C,hall,"Janet passed by the kitchen. Janet unpacked the belongings and put the painting in the hall.  While Janet was busy, Barry moved the painting to the kitchen. When Janet wanted to see the painting she looked in the [MASK] ."
12,12,1,3,FB-C,"Janet passed by the hall. Janet unpacked the belongings and put the painting in the hall.  While Janet was busy, Barry moved the painting to the kitchen. When Janet wanted to see the painting she looked in the hall.",Yes,Start,End,2,1,4,0.6723660230636597,FB,C,hall,"Janet passed by the hall. Janet unpacked the belongings and put the painting in the hall.  While Janet was busy, Barry moved the painting to the kitchen. When Janet wanted to see the painting she looked in the [MASK] ."
13,13,1,3,FB-C,"Janet unpacked the belongings and put the painting in the hall.  While Janet was busy, Barry moved the painting to the kitchen. Janet was near the hall. When Janet wanted to see the painting she looked in the hall.",Yes,Start,Start,2,1,4,0.7789900898933411,FB,C,hall,"Janet unpacked the belongings and put the painting in the hall.  While Janet was busy, Barry moved the painting to the kitchen. Janet was near the hall. When Janet wanted to see the painting she looked in the [MASK] ."
14,14,1,3,FB-C,"Janet unpacked the belongings and put the painting in the hall.  While Janet was busy, Barry moved the painting to the kitchen. Janet was near the kitchen. When Janet wanted to see the painting she looked in the hall.",Yes,Start,End,1,2,4,0.4394581913948059,FB,C,hall,"Janet unpacked the belongings and put the painting in the hall.  While Janet was busy, Barry moved the painting to the kitchen. Janet was near the kitchen. When Janet wanted to see the painting she looked in the [MASK] ."
15,15,1,4,FB-IC,"Janet unpacked the belongings and put the painting in the hall.  While Janet was busy, Barry moved the painting to the kitchen. When Janet wanted to see the painting she looked in the kitchen.",No,Start,End,1,1,3,0.013767755590379242,FB,IC,kitchen,"Janet unpacked the belongings and put the painting in the hall.  While Janet was busy, Barry moved the painting to the kitchen. When Janet wanted to see the painting she looked in the [MASK] ."
16,16,1,4,FB-IC,"Janet passed by the kitchen. Janet unpacked the belongings and put the painting in the hall.  While Janet was busy, Barry moved the painting to the kitchen. When Janet wanted to see the painting she looked in the kitchen.",Yes,End,End,1,2,4,0.021893899887800217,FB,IC,kitchen,"Janet passed by the kitchen. Janet unpacked the belongings and put the painting in the hall.  While Janet was busy, Barry moved the painting to the kitchen. When Janet wanted to see the painting she looked in the [MASK] ."
17,17,1,4,FB-IC,"Janet passed by the hall. Janet unpacked the belongings and put the painting in the hall.  While Janet was busy, Barry moved the painting to the kitchen. When Janet wanted to see the painting she looked in the kitchen.",Yes,Start,End,2,1,4,0.022335758432745934,FB,IC,kitchen,"Janet passed by the hall. Janet unpacked the belongings and put the painting in the hall.  While Janet was busy, Barry moved the painting to the kitchen. When Janet wanted to see the painting she looked in the [MASK] ."
18,18,1,4,FB-IC,"Janet unpacked the belongings and put the painting in the hall.  While Janet was busy, Barry moved the painting to the kitchen. Janet was near the hall. When Janet wanted to see the painting she looked in the kitchen.",Yes,Start,Start,2,1,4,0.014483452774584288,FB,IC,kitchen,"Janet unpacked the belongings and put the painting in the hall.  While Janet was busy, Barry moved the painting to the kitchen. Janet was near the hall. When Janet wanted to see the painting she looked in the [MASK] ."
19,19,1,4,FB-IC,"Janet unpacked the belongings and put the painting in the hall.  While Janet was busy, Barry moved the painting to the kitchen. Janet was near the kitchen. When Janet wanted to see the painting she looked in the kitchen.",Yes,Start,End,1,2,4,0.23547685146331787,FB,IC,kitchen,"Janet unpacked the belongings and put the painting in the hall.  While Janet was busy, Barry moved the painting to the kitchen. Janet was near the kitchen. When Janet wanted to see the painting she looked in the [MASK] ."
20,20,2,1,TB-C,"Mary planted all her seeds in trays and put them in the greenhouse.  Later, Mary spotted her husband move the plants to the garage. When Mary wanted to look at her plants she looked in the garage.",No,Start,End,1,1,3,0.012732417322695255,TB,C,garage,"Mary planted all her seeds in trays and put them in the greenhouse.  Later, Mary spotted her husband move the plants to the garage. When Mary wanted to look at her plants she looked in the [MASK] ."
21,21,2,1,TB-C,"Mary passed by the garage. Mary planted all her seeds in trays and put them in the greenhouse.  Later, Mary spotted her husband move the plants to the garage. When Mary wanted to look at her plants she looked in the garage.",Yes,End,End,1,2,4,0.0641351491212845,TB,C,garage,"Mary passed by the garage. Mary planted all her seeds in trays and put them in the greenhouse.  Later, Mary spotted her husband move the plants to the garage. When Mary wanted to look at her plants she looked in the [MASK] ."
22,22,2,1,TB-C,"Mary passed by the greenhouse. Mary planted all her seeds in trays and put them in the greenhouse.  Later, Mary spotted her husband move the plants to the garage. When Mary wanted to look at her plants she looked in the garage.",Yes,Start,End,2,1,4,0.1492553353309631,TB,C,garage,"Mary passed by the greenhouse. Mary planted all her seeds in trays and put them in the greenhouse.  Later, Mary spotted her husband move the plants to the garage. When Mary wanted to look at her plants she looked in the [MASK] ."
23,23,2,1,TB-C,"Mary planted all her seeds in trays and put them in the greenhouse.  Later, Mary spotted her husband move the plants to the garage. Mary was near the greenhouse. When Mary wanted to look at her plants she looked in the garage.",Yes,Start,Start,2,1,4,0.00960248336195946,TB,C,garage,"Mary planted all her seeds in trays and put them in the greenhouse.  Later, Mary spotted her husband move the plants to the garage. Mary was near the greenhouse. When Mary wanted to look at her plants she looked in the [MASK] ."
24,24,2,1,TB-C,"Mary planted all her seeds in trays and put them in the greenhouse.  Later, Mary spotted her husband move the plants to the garage. Mary was near the garage. When Mary wanted to look at her plants she looked in the garage.",Yes,Start,End,1,2,4,0.0926443859934807,TB,C,garage,"Mary planted all her seeds in trays and put them in the greenhouse.  Later, Mary spotted her husband move the plants to the garage. Mary was near the garage. When Mary wanted to look at her plants she looked in the [MASK] ."
25,25,2,2,TB-IC,"Mary planted all her seeds in trays and put them in the greenhouse.  Later, Mary spotted her husband move the plants to the garage. When Mary wanted to look at her plants she looked in the greenhouse.",No,Start,End,1,1,3,0.16492301225662231,TB,IC,greenhouse,"Mary planted all her seeds in trays and put them in the greenhouse.  Later, Mary spotted her husband move the plants to the garage. When Mary wanted to look at her plants she looked in the [MASK] ."
26,26,2,2,TB-IC,"Mary passed by the garage. Mary planted all her seeds in trays and put them in the greenhouse.  Later, Mary spotted her husband move the plants to the garage. When Mary wanted to look at her plants she looked in the greenhouse.",Yes,End,End,1,2,4,0.7899467349052429,TB,IC,greenhouse,"Mary passed by the garage. Mary planted all her seeds in trays and put them in the greenhouse.  Later, Mary spotted her husband move the plants to the garage. When Mary wanted to look at her plants she looked in the [MASK] ."
27,27,2,2,TB-IC,"Mary passed by the greenhouse. Mary planted all her seeds in trays and put them in the greenhouse.  Later, Mary spotted her husband move the plants to the garage. When Mary wanted to look at her plants she looked in the greenhouse.",Yes,Start,End,2,1,4,0.04346990212798118,TB,IC,greenhouse,"Mary passed by the greenhouse. Mary planted all her seeds in trays and put them in the greenhouse.  Later, Mary spotted her husband move the plants to the garage. When Mary wanted to look at her plants she looked in the [MASK] ."
28,28,2,2,TB-IC,"Mary planted all her seeds in trays and put them in the greenhouse.  Later, Mary spotted her husband move the plants to the garage. Mary was near the greenhouse. When Mary wanted to look at her plants she looked in the greenhouse.",Yes,Start,Start,2,1,4,0.5957603454589844,TB,IC,greenhouse,"Mary planted all her seeds in trays and put them in the greenhouse.  Later, Mary spotted her husband move the plants to the garage. Mary was near the greenhouse. When Mary wanted to look at her plants she looked in the [MASK] ."
29,29,2,2,TB-IC,"Mary planted all her seeds in trays and put them in the greenhouse.  Later, Mary spotted her husband move the plants to the garage. Mary was near the garage. When Mary wanted to look at her plants she looked in the greenhouse.",Yes,Start,End,1,2,4,0.2009144425392151,TB,IC,greenhouse,"Mary planted all her seeds in trays and put them in the greenhouse.  Later, Mary spotted her husband move the plants to the garage. Mary was near the garage. When Mary wanted to look at her plants she looked in the [MASK] ."
30,30,2,3,FB-C,"Mary planted all her seeds in trays and put them in the greenhouse.  While Mary was distracted, her husband moved the plants to the garage. When Mary wanted to look at her plants she looked in the greenhouse.",No,Start,End,1,1,3,0.08547995239496231,FB,C,greenhouse,"Mary planted all her seeds in trays and put them in the greenhouse.  While Mary was distracted, her husband moved the plants to the garage. When Mary wanted to look at her plants she looked in the [MASK] ."
31,31,2,3,FB-C,"Mary passed by the garage. Mary planted all her seeds in trays and put them in the greenhouse.  While Mary was distracted, her husband moved the plants to the garage. When Mary wanted to look at her plants she looked in the greenhouse.",Yes,End,End,1,2,4,0.12245400249958036,FB,C,greenhouse,"Mary passed by the garage. Mary planted all her seeds in trays and put them in the greenhouse.  While Mary was distracted, her husband moved the plants to the garage. When Mary wanted to look at her plants she looked in the [MASK] ."
32,32,2,3,FB-C,"Mary passed by the greenhouse. Mary planted all her seeds in trays and put them in the greenhouse.  While Mary was distracted, her husband moved the plants to the garage. When Mary wanted to look at her plants she looked in the greenhouse.",Yes,Start,End,2,1,4,0.011847820132970808,FB,C,greenhouse,"Mary passed by the greenhouse. Mary planted all her seeds in trays and put them in the greenhouse.  While Mary was distracted, her husband moved the plants to the garage. When Mary wanted to look at her plants she looked in the [MASK] ."
33,33,2,3,FB-C,"Mary planted all her seeds in trays and put them in the greenhouse.  While Mary was distracted, her husband moved the plants to the garage. Mary was near the greenhouse. When Mary wanted to look at her plants she looked in the greenhouse.",Yes,Start,Start,2,1,4,0.6138570308685303,FB,C,greenhouse,"Mary planted all her seeds in trays and put them in the greenhouse.  While Mary was distracted, her husband moved the plants to the garage. Mary was near the greenhouse. When Mary wanted to look at her plants she looked in the [MASK] ."
34,34,2,3,FB-C,"Mary planted all her seeds in trays and put them in the greenhouse.  While Mary was distracted, her husband moved the plants to the garage. Mary was near the garage. When Mary wanted to look at her plants she looked in the greenhouse.",Yes,Start,End,1,2,4,0.2897718548774719,FB,C,greenhouse,"Mary planted all her seeds in trays and put them in the greenhouse.  While Mary was distracted, her husband moved the plants to the garage. Mary was near the garage. When Mary wanted to look at her plants she looked in the [MASK] ."
35,35,2,4,FB-IC,"Mary planted all her seeds in trays and put them in the greenhouse.  While Mary was distracted, her husband moved the plants to the garage. When Mary wanted to look at her plants she looked in the garage.",No,Start,End,1,1,3,0.13743610680103302,FB,IC,garage,"Mary planted all her seeds in trays and put them in the greenhouse.  While Mary was distracted, her husband moved the plants to the garage. When Mary wanted to look at her plants she looked in the [MASK] ."
36,36,2,4,FB-IC,"Mary passed by the garage. Mary planted all her seeds in trays and put them in the greenhouse.  While Mary was distracted, her husband moved the plants to the garage. When Mary wanted to look at her plants she looked in the garage.",Yes,End,End,1,2,4,0.13486535847187045,FB,IC,garage,"Mary passed by the garage. Mary planted all her seeds in trays and put them in the greenhouse.  While Mary was distracted, her husband moved the plants to the garage. When Mary wanted to look at her plants she looked in the [MASK] ."
37,37,2,4,FB-IC,"Mary passed by the greenhouse. Mary planted all her seeds in trays and put them in the greenhouse.  While Mary was distracted, her husband moved the plants to the garage. When Mary wanted to look at her plants she looked in the garage.",Yes,Start,End,2,1,4,0.2233162820339203,FB,IC,garage,"Mary passed by the greenhouse. Mary planted all her seeds in trays and put them in the greenhouse.  While Mary was distracted, her husband moved the plants to the garage. When Mary wanted to look at her plants she looked in the [MASK] ."
38,38,2,4,FB-IC,"Mary planted all her seeds in trays and put them in the greenhouse.  While Mary was distracted, her husband moved the plants to the garage. Mary was near the greenhouse. When Mary wanted to look at her plants she looked in the garage.",Yes,Start,Start,2,1,4,0.008392871357500557,FB,IC,garage,"Mary planted all her seeds in trays and put them in the greenhouse.  While Mary was distracted, her husband moved the plants to the garage. Mary was near the greenhouse. When Mary wanted to look at her plants she looked in the [MASK] ."
39,39,2,4,FB-IC,"Mary planted all her seeds in trays and put them in the greenhouse.  While Mary was distracted, her husband moved the plants to the garage. Mary was near the garage. When Mary wanted to look at her plants she looked in the garage.",Yes,Start,End,1,2,4,0.08595262467861176,FB,IC,garage,"Mary planted all her seeds in trays and put them in the greenhouse.  While Mary was distracted, her husband moved the plants to the garage. Mary was near the garage. When Mary wanted to look at her plants she looked in the [MASK] ."
40,40,3,1,TB-C,"Joanne folded the clean clothes and put them into the lounge.  Later, Joanne saw Alex move the clothes to the study. When Joanne wanted to iron the clothes she looked in the study.",No,Start,End,1,1,3,0.006840146612375974,TB,C,study,"Joanne folded the clean clothes and put them into the lounge.  Later, Joanne saw Alex move the clothes to the study. When Joanne wanted to iron the clothes she looked in the [MASK] ."
41,41,3,1,TB-C,"Joanne passed by the study. Joanne folded the clean clothes and put them into the lounge.  Later, Joanne saw Alex move the clothes to the study. When Joanne wanted to iron the clothes she looked in the study.",Yes,End,End,1,2,4,0.03690747544169427,TB,C,study,"Joanne passed by the study. Joanne folded the clean clothes and put them into the lounge.  Later, Joanne saw Alex move the clothes to the study. When Joanne wanted to iron the clothes she looked in the [MASK] ."
42,42,3,1,TB-C,"Joanne passed by the lounge. Joanne folded the clean clothes and put them into the lounge.  Later, Joanne saw Alex move the clothes to the study. When Joanne wanted to iron the clothes she looked in the study.",Yes,Start,End,2,1,4,0.009114425629377363,TB,C,study,"Joanne passed by the lounge. Joanne folded the clean clothes and put them into the lounge.  Later, Joanne saw Alex move the clothes to the study. When Joanne wanted to iron the clothes she looked in the [MASK] ."
43,43,3,1,TB-C,"Joanne folded the clean clothes and put them into the lounge.  Later, Joanne saw Alex move the clothes to the study. Joanne was near the lounge. When Joanne wanted to iron the clothes she looked in the study.",Yes,Start,Start,2,1,4,0.006464607082307341,TB,C,study,"Joanne folded the clean clothes and put them into the lounge.  Later, Joanne saw Alex move the clothes to the study. Joanne was near the lounge. When Joanne wanted to iron the clothes she looked in the [MASK] ."
44,44,3,1,TB-C,"Joanne folded the clean clothes and put them into the lounge.  Later, Joanne saw Alex move the clothes to the study. Joanne was near the study. When Joanne wanted to iron the clothes she looked in the study.",Yes,Start,End,1,2,4,0.13008044660091403,TB,C,study,"Joanne folded the clean clothes and put them into the lounge.  Later, Joanne saw Alex move the clothes to the study. Joanne was near the study. When Joanne wanted to iron the clothes she looked in the [MASK] ."
45,45,3,2,TB-IC,"Joanne folded the clean clothes and put them into the lounge.  Later, Joanne saw Alex move the clothes to the study. When Joanne wanted to iron the clothes she looked in the lounge.",No,Start,End,1,1,3,0.0011483539128676053,TB,IC,lounge,"Joanne folded the clean clothes and put them into the lounge.  Later, Joanne saw Alex move the clothes to the study. When Joanne wanted to iron the clothes she looked in the [MASK] ."
46,46,3,2,TB-IC,"Joanne passed by the study. Joanne folded the clean clothes and put them into the lounge.  Later, Joanne saw Alex move the clothes to the study. When Joanne wanted to iron the clothes she looked in the lounge.",Yes,End,End,1,2,4,0.1797662675380707,TB,IC,lounge,"Joanne passed by the study. Joanne folded the clean clothes and put them into the lounge.  Later, Joanne saw Alex move the clothes to the study. When Joanne wanted to iron the clothes she looked in the [MASK] ."
47,47,3,2,TB-IC,"Joanne passed by the lounge. Joanne folded the clean clothes and put them into the lounge.  Later, Joanne saw Alex move the clothes to the study. When Joanne wanted to iron the clothes she looked in the lounge.",Yes,Start,End,2,1,4,0.005987636279314757,TB,IC,lounge,"Joanne passed by the lounge. Joanne folded the clean clothes and put them into the lounge.  Later, Joanne saw Alex move the clothes to the study. When Joanne wanted to iron the clothes she looked in the [MASK] ."
48,48,3,2,TB-IC,"Joanne folded the clean clothes and put them into the lounge.  Later, Joanne saw Alex move the clothes to the study. Joanne was near the lounge. When Joanne wanted to iron the clothes she looked in the lounge.",Yes,Start,Start,2,1,4,0.17475569248199466,TB,IC,lounge,"Joanne folded the clean clothes and put them into the lounge.  Later, Joanne saw Alex move the clothes to the study. Joanne was near the lounge. When Joanne wanted to iron the clothes she looked in the [MASK] ."
49,49,3,2,TB-IC,"Joanne folded the clean clothes and put them into the lounge.  Later, Joanne saw Alex move the clothes to the study. Joanne was near the study. When Joanne wanted to iron the clothes she looked in the lounge.",Yes,Start,End,1,2,4,0.0009092213003896174,TB,IC,lounge,"Joanne folded the clean clothes and put them into the lounge.  Later, Joanne saw Alex move the clothes to the study. Joanne was near the study. When Joanne wanted to iron the clothes she looked in the [MASK] ."
50,50,3,3,FB-C,"Joanne folded the clean clothes and put them into the lounge.  But while Joanne was cooking, Alex moved the clothes to the study. When Joanne wanted to iron the clothes she looked in the lounge.",No,Start,End,1,1,3,0.00014243469922803345,FB,C,lounge,"Joanne folded the clean clothes and put them into the lounge.  But while Joanne was cooking, Alex moved the clothes to the study. When Joanne wanted to iron the clothes she looked in the [MASK] ."
51,51,3,3,FB-C,"Joanne passed by the study. Joanne folded the clean clothes and put them into the lounge.  But while Joanne was cooking, Alex moved the clothes to the study. When Joanne wanted to iron the clothes she looked in the lounge.",Yes,End,End,1,2,4,0.0018223238876089445,FB,C,lounge,"Joanne passed by the study. Joanne folded the clean clothes and put them into the lounge.  But while Joanne was cooking, Alex moved the clothes to the study. When Joanne wanted to iron the clothes she looked in the [MASK] ."
52,52,3,3,FB-C,"Joanne passed by the lounge. Joanne folded the clean clothes and put them into the lounge.  But while Joanne was cooking, Alex moved the clothes to the study. When Joanne wanted to iron the clothes she looked in the lounge.",Yes,Start,End,2,1,4,0.0012395773082971577,FB,C,lounge,"Joanne passed by the lounge. Joanne folded the clean clothes and put them into the lounge.  But while Joanne was cooking, Alex moved the clothes to the study. When Joanne wanted to iron the clothes she looked in the [MASK] ."
53,53,3,3,FB-C,"Joanne folded the clean clothes and put them into the lounge.  But while Joanne was cooking, Alex moved the clothes to the study. Joanne was near the lounge. When Joanne wanted to iron the clothes she looked in the lounge.",Yes,Start,Start,2,1,4,0.0205573495477438,FB,C,lounge,"Joanne folded the clean clothes and put them into the lounge.  But while Joanne was cooking, Alex moved the clothes to the study. Joanne was near the lounge. When Joanne wanted to iron the clothes she looked in the [MASK] ."
54,54,3,3,FB-C,"Joanne folded the clean clothes and put them into the lounge.  But while Joanne was cooking, Alex moved the clothes to the study. Joanne was near the study. When Joanne wanted to iron the clothes she looked in the lounge.",Yes,Start,End,1,2,4,0.00105299660935998,FB,C,lounge,"Joanne folded the clean clothes and put them into the lounge.  But while Joanne was cooking, Alex moved the clothes to the study. Joanne was near the study. When Joanne wanted to iron the clothes she looked in the [MASK] ."
55,55,3,4,FB-IC,"Joanne folded the clean clothes and put them into the lounge.  But while Joanne was cooking, Alex moved the clothes to the study. When Joanne wanted to iron the clothes she looked in the study.",No,Start,End,1,1,3,0.011794936843216417,FB,IC,study,"Joanne folded the clean clothes and put them into the lounge.  But while Joanne was cooking, Alex moved the clothes to the study. When Joanne wanted to iron the clothes she looked in the [MASK] ."
56,56,3,4,FB-IC,"Joanne passed by the study. Joanne folded the clean clothes and put them into the lounge.  But while Joanne was cooking, Alex moved the clothes to the study. When Joanne wanted to iron the clothes she looked in the study.",Yes,End,End,1,2,4,0.008456748910248276,FB,IC,study,"Joanne passed by the study. Joanne folded the clean clothes and put them into the lounge.  But while Joanne was cooking, Alex moved the clothes to the study. When Joanne wanted to iron the clothes she looked in the [MASK] ."
57,57,3,4,FB-IC,"Joanne passed by the lounge. Joanne folded the clean clothes and put them into the lounge.  But while Joanne was cooking, Alex moved the clothes to the study. When Joanne wanted to iron the clothes she looked in the study.",Yes,Start,End,2,1,4,0.04487258195877076,FB,IC,study,"Joanne passed by the lounge. Joanne folded the clean clothes and put them into the lounge.  But while Joanne was cooking, Alex moved the clothes to the study. When Joanne wanted to iron the clothes she looked in the [MASK] ."
58,58,3,4,FB-IC,"Joanne folded the clean clothes and put them into the lounge.  But while Joanne was cooking, Alex moved the clothes to the study. Joanne was near the lounge. When Joanne wanted to iron the clothes she looked in the study.",Yes,Start,Start,2,1,4,0.006229957565665246,FB,IC,study,"Joanne folded the clean clothes and put them into the lounge.  But while Joanne was cooking, Alex moved the clothes to the study. Joanne was near the lounge. When Joanne wanted to iron the clothes she looked in the [MASK] ."
59,59,3,4,FB-IC,"Joanne folded the clean clothes and put them into the lounge.  But while Joanne was cooking, Alex moved the clothes to the study. Joanne was near the study. When Joanne wanted to iron the clothes she looked in the study.",Yes,Start,End,1,2,4,0.013291116803884503,FB,IC,study,"Joanne folded the clean clothes and put them into the lounge.  But while Joanne was cooking, Alex moved the clothes to the study. Joanne was near the study. When Joanne wanted to iron the clothes she looked in the [MASK] ."
60,60,4,1,TB-C,"John washed the dishes after his breakfast and left his watch in the kitchen.  Later, John noticed Victoria move the watch to the bedroom. When John wanted to find his watch he looked in the bedroom.",No,Start,End,1,1,3,0.03549466282129287,TB,C,bedroom,"John washed the dishes after his breakfast and left his watch in the kitchen.  Later, John noticed Victoria move the watch to the bedroom. When John wanted to find his watch he looked in the [MASK] ."
61,61,4,1,TB-C,"John passed by the bedroom. John washed the dishes after his breakfast and left his watch in the kitchen.  Later, John noticed Victoria move the watch to the bedroom. When John wanted to find his watch he looked in the bedroom.",Yes,End,End,1,2,4,0.19232767820358276,TB,C,bedroom,"John passed by the bedroom. John washed the dishes after his breakfast and left his watch in the kitchen.  Later, John noticed Victoria move the watch to the bedroom. When John wanted to find his watch he looked in the [MASK] ."
62,62,4,1,TB-C,"John passed by the kitchen. John washed the dishes after his breakfast and left his watch in the kitchen.  Later, John noticed Victoria move the watch to the bedroom. When John wanted to find his watch he looked in the bedroom.",Yes,Start,End,2,1,4,0.10465968400239944,TB,C,bedroom,"John passed by the kitchen. John washed the dishes after his breakfast and left his watch in the kitchen.  Later, John noticed Victoria move the watch to the bedroom. When John wanted to find his watch he looked in the [MASK] ."
63,63,4,1,TB-C,"John washed the dishes after his breakfast and left his watch in the kitchen.  Later, John noticed Victoria move the watch to the bedroom. John was near the kitchen. When John wanted to find his watch he looked in the bedroom.",Yes,Start,Start,2,1,4,0.007690862752497194,TB,C,bedroom,"John washed the dishes after his breakfast and left his watch in the kitchen.  Later, John noticed Victoria move the watch to the bedroom. John was near the kitchen. When John wanted to find his watch he looked in the [MASK] ."
64,64,4,1,TB-C,"John washed the dishes after his breakfast and left his watch in the kitchen.  Later, John noticed Victoria move the watch to the bedroom. John was near the bedroom. When John wanted to find his watch he looked in the bedroom.",Yes,Start,End,1,2,4,0.2481560856103897,TB,C,bedroom,"John washed the dishes after his breakfast and left his watch in the kitchen.  Later, John noticed Victoria move the watch to the bedroom. John was near the bedroom. When John wanted to find his watch he looked in the [MASK] ."
65,65,4,2,TB-IC,"John washed the dishes after his breakfast and left his watch in the kitchen.  Later, John noticed Victoria move the watch to the bedroom. When John wanted to find his watch he looked in the kitchen.",No,Start,End,1,1,3,0.4301862120628357,TB,IC,kitchen,"John washed the dishes after his breakfast and left his watch in the kitchen.  Later, John noticed Victoria move the watch to the bedroom. When John wanted to find his watch he looked in the [MASK] ."
66,66,4,2,TB-IC,"John passed by the bedroom. John washed the dishes after his breakfast and left his watch in the kitchen.  Later, John noticed Victoria move the watch to the bedroom. When John wanted to find his watch he looked in the kitchen.",Yes,End,End,1,2,4,0.40921932458877563,TB,IC,kitchen,"John passed by the bedroom. John washed the dishes after his breakfast and left his watch in the kitchen.  Later, John noticed Victoria move the watch to the bedroom. When John wanted to find his watch he looked in the [MASK] ."
