,Unnamed: 0,item,a,b,real,alt,passage,condition,first_mention,mentions_real,mentions_alt,stim_number,knowledge_cue,log_odds
10,10,sweets,Tyler,Marta,top,bottom,"It is Tyler's birthday, and their auntie pops in to give them a box of sweets. Tyler puts the sweets in the top drawer for safe-keeping. A few minutes later, Tyler's greedy sibling Marta comes in and asks Tyler: “Where have you put your sweets, in your top drawer or your bottom drawer?” Tyler does not want Marta to find the sweets. Tyler says the sweets are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,1.6230563297673823
11,11,sweets,Tyler,Marta,bottom,top,"It is Tyler's birthday, and their auntie pops in to give them a box of sweets. Tyler puts the sweets in the bottom drawer for safe-keeping. A few minutes later, Tyler's greedy sibling Marta comes in and asks Tyler: “Where have you put your sweets, in your bottom drawer or your top drawer?” Tyler does not want Marta to find the sweets. Tyler says the sweets are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,3.1621876085075353
12,12,sweets,Ben,Emily,top,bottom,"It is Ben's birthday, and their auntie pops in to give them a box of sweets. Ben puts the sweets in the top drawer for safe-keeping. A few minutes later, Ben's greedy sibling Emily comes in and asks Ben: “Where have you put your sweets, in your top drawer or your bottom drawer?” Ben does not want Emily to find the sweets. Ben says the sweets are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,1.5463361855673459
13,13,sweets,Ben,Emily,bottom,top,"It is Ben's birthday, and their auntie pops in to give them a box of sweets. Ben puts the sweets in the bottom drawer for safe-keeping. A few minutes later, Ben's greedy sibling Emily comes in and asks Ben: “Where have you put your sweets, in your bottom drawer or your top drawer?” Ben does not want Emily to find the sweets. Ben says the sweets are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,3.3659362462113522
14,14,sweets,Ben,Antonio,top,bottom,"It is Ben's birthday, and their auntie pops in to give them a box of sweets. Ben puts the sweets in the top drawer for safe-keeping. A few minutes later, Ben's greedy sibling Antonio comes in and asks Ben: “Where have you put your sweets, in your top drawer or your bottom drawer?” Ben does not want Antonio to find the sweets. Ben says the sweets are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,1.5887603668633836
15,15,sweets,Ben,Antonio,bottom,top,"It is Ben's birthday, and their auntie pops in to give them a box of sweets. Ben puts the sweets in the bottom drawer for safe-keeping. A few minutes later, Ben's greedy sibling Antonio comes in and asks Ben: “Where have you put your sweets, in your bottom drawer or your top drawer?” Ben does not want Antonio to find the sweets. Ben says the sweets are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,3.319186191898193
16,16,candy,Marta,Pamela,top,bottom,"It is Marta's birthday, and their auntie pops in to give them a box of candy. Marta puts the candy in the top drawer for safe-keeping. A few minutes later, Marta's greedy sibling Pamela comes in and asks Marta: “Where have you put your candy, in your top drawer or your bottom drawer?” Marta does not want Pamela to find the candy. Marta says the candy are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,0.05547336500641243
17,17,candy,Marta,Pamela,bottom,top,"It is Marta's birthday, and their auntie pops in to give them a box of candy. Marta puts the candy in the bottom drawer for safe-keeping. A few minutes later, Marta's greedy sibling Pamela comes in and asks Marta: “Where have you put your candy, in your bottom drawer or your top drawer?” Marta does not want Pamela to find the candy. Marta says the candy are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,2.4899549648396704
18,18,candy,Marta,Tyler,top,bottom,"It is Marta's birthday, and their auntie pops in to give them a box of candy. Marta puts the candy in the top drawer for safe-keeping. A few minutes later, Marta's greedy sibling Tyler comes in and asks Marta: “Where have you put your candy, in your top drawer or your bottom drawer?” Marta does not want Tyler to find the candy. Marta says the candy are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,0.3690014118760832
19,19,candy,Marta,Tyler,bottom,top,"It is Marta's birthday, and their auntie pops in to give them a box of candy. Marta puts the candy in the bottom drawer for safe-keeping. A few minutes later, Marta's greedy sibling Tyler comes in and asks Marta: “Where have you put your candy, in your bottom drawer or your top drawer?” Marta does not want Tyler to find the candy. Marta says the candy are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,2.852755572374762
20,20,candy,Antonio,Emily,top,bottom,"It is Antonio's birthday, and their auntie pops in to give them a box of candy. Antonio puts the candy in the top drawer for safe-keeping. A few minutes later, Antonio's greedy sibling Emily comes in and asks Antonio: “Where have you put your candy, in your top drawer or your bottom drawer?” Antonio does not want Emily to find the candy. Antonio says the candy are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,0.14735321706932006
21,21,candy,Antonio,Emily,bottom,top,"It is Antonio's birthday, and their auntie pops in to give them a box of candy. Antonio puts the candy in the bottom drawer for safe-keeping. A few minutes later, Antonio's greedy sibling Emily comes in and asks Antonio: “Where have you put your candy, in your bottom drawer or your top drawer?” Antonio does not want Emily to find the candy. Antonio says the candy are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,2.399449329417569
22,22,candy,Antonio,Marta,top,bottom,"It is Antonio's birthday, and their auntie pops in to give them a box of candy. Antonio puts the candy in the top drawer for safe-keeping. A few minutes later, Antonio's greedy sibling Marta comes in and asks Antonio: “Where have you put your candy, in your top drawer or your bottom drawer?” Antonio does not want Marta to find the candy. Antonio says the candy are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,0.11905287835936493
23,23,candy,Antonio,Marta,bottom,top,"It is Antonio's birthday, and their auntie pops in to give them a box of candy. Antonio puts the candy in the bottom drawer for safe-keeping. A few minutes later, Antonio's greedy sibling Marta comes in and asks Antonio: “Where have you put your candy, in your bottom drawer or your top drawer?” Antonio does not want Marta to find the candy. Antonio says the candy are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,1.9119358563872937
24,24,chocolates,Sean,Antonio,top,bottom,"It is Sean's birthday, and their auntie pops in to give her a box of chocolates. Sean puts chocolates in the top drawer for safe-keeping. A few minutes later, Sean's sweet sibling Antonio comes in and asks Sean: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Sean wants to share the chocolates with Antonio. Sean says the chocolates are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,3.3680562836214722
25,25,chocolates,Sean,Antonio,bottom,top,"It is Sean's birthday, and their auntie pops in to give her a box of chocolates. Sean puts chocolates in the bottom drawer for safe-keeping. A few minutes later, Sean's sweet sibling Antonio comes in and asks Sean: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Sean wants to share the chocolates with Antonio. Sean says the chocolates are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,3.976164753117205
26,26,chocolates,Sean,Cameron,top,bottom,"It is Sean's birthday, and their auntie pops in to give her a box of chocolates. Sean puts chocolates in the top drawer for safe-keeping. A few minutes later, Sean's sweet sibling Cameron comes in and asks Sean: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Sean wants to share the chocolates with Cameron. Sean says the chocolates are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,4.494319959633926
27,27,chocolates,Sean,Cameron,bottom,top,"It is Sean's birthday, and their auntie pops in to give her a box of chocolates. Sean puts chocolates in the bottom drawer for safe-keeping. A few minutes later, Sean's sweet sibling Cameron comes in and asks Sean: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Sean wants to share the chocolates with Cameron. Sean says the chocolates are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,4.37522027536527
28,28,chocolates,Ben,Marta,top,bottom,"It is Ben's birthday, and their auntie pops in to give her a box of chocolates. Ben puts chocolates in the top drawer for safe-keeping. A few minutes later, Ben's sweet sibling Marta comes in and asks Ben: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Ben wants to share the chocolates with Marta. Ben says the chocolates are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,3.681259212309832
29,29,chocolates,Ben,Marta,bottom,top,"It is Ben's birthday, and their auntie pops in to give her a box of chocolates. Ben puts chocolates in the bottom drawer for safe-keeping. A few minutes later, Ben's sweet sibling Marta comes in and asks Ben: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Ben wants to share the chocolates with Marta. Ben says the chocolates are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,4.371438036765205
30,30,chocolates,Ben,Sean,top,bottom,"It is Ben's birthday, and their auntie pops in to give her a box of chocolates. Ben puts chocolates in the top drawer for safe-keeping. A few minutes later, Ben's sweet sibling Sean comes in and asks Ben: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Ben wants to share the chocolates with Sean. Ben says the chocolates are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,3.8548927160688518
31,31,chocolates,Ben,Sean,bottom,top,"It is Ben's birthday, and their auntie pops in to give her a box of chocolates. Ben puts chocolates in the bottom drawer for safe-keeping. A few minutes later, Ben's sweet sibling Sean comes in and asks Ben: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Ben wants to share the chocolates with Sean. Ben says the chocolates are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,4.6551818402504095
32,32,sweets,Sonja,Tyler,top,bottom,"It is Sonja's birthday, and their auntie pops in to give her a box of sweets. Sonja puts sweets in the top drawer for safe-keeping. A few minutes later, Sonja's sweet sibling Tyler comes in and asks Sonja: “Where have you put your sweets, in your top drawer or your bottom drawer?” Sonja wants to share the sweets with Tyler. Sonja says the sweets are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,4.214860943681295
33,33,sweets,Sonja,Tyler,bottom,top,"It is Sonja's birthday, and their auntie pops in to give her a box of sweets. Sonja puts sweets in the bottom drawer for safe-keeping. A few minutes later, Sonja's sweet sibling Tyler comes in and asks Sonja: “Where have you put your sweets, in your bottom drawer or your top drawer?” Sonja wants to share the sweets with Tyler. Sonja says the sweets are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,5.547711363592828
34,34,sweets,Sonja,Antonio,top,bottom,"It is Sonja's birthday, and their auntie pops in to give her a box of sweets. Sonja puts sweets in the top drawer for safe-keeping. A few minutes later, Sonja's sweet sibling Antonio comes in and asks Sonja: “Where have you put your sweets, in your top drawer or your bottom drawer?” Sonja wants to share the sweets with Antonio. Sonja says the sweets are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,3.4118452222029587
35,35,sweets,Sonja,Antonio,bottom,top,"It is Sonja's birthday, and their auntie pops in to give her a box of sweets. Sonja puts sweets in the bottom drawer for safe-keeping. A few minutes later, Sonja's sweet sibling Antonio comes in and asks Sonja: “Where have you put your sweets, in your bottom drawer or your top drawer?” Sonja wants to share the sweets with Antonio. Sonja says the sweets are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,4.664254186970257
36,36,sweets,Cameron,Antonio,top,bottom,"It is Cameron's birthday, and their auntie pops in to give her a box of sweets. Cameron puts sweets in the top drawer for safe-keeping. A few minutes later, Cameron's sweet sibling Antonio comes in and asks Cameron: “Where have you put your sweets, in your top drawer or your bottom drawer?” Cameron wants to share the sweets with Antonio. Cameron says the sweets are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,3.3571319145172387
37,37,sweets,Cameron,Antonio,bottom,top,"It is Cameron's birthday, and their auntie pops in to give her a box of sweets. Cameron puts sweets in the bottom drawer for safe-keeping. A few minutes later, Cameron's sweet sibling Antonio comes in and asks Cameron: “Where have you put your sweets, in your bottom drawer or your top drawer?” Cameron wants to share the sweets with Antonio. Cameron says the sweets are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,3.6879367979929376
38,38,sweets,Cameron,Sean,top,bottom,"It is Cameron's birthday, and their auntie pops in to give her a box of sweets. Cameron puts sweets in the top drawer for safe-keeping. A few minutes later, Cameron's sweet sibling Sean comes in and asks Cameron: “Where have you put your sweets, in your top drawer or your bottom drawer?” Cameron wants to share the sweets with Sean. Cameron says the sweets are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,3.8539304760717004
39,39,sweets,Cameron,Sean,bottom,top,"It is Cameron's birthday, and their auntie pops in to give her a box of sweets. Cameron puts sweets in the bottom drawer for safe-keeping. A few minutes later, Cameron's sweet sibling Sean comes in and asks Cameron: “Where have you put your sweets, in your bottom drawer or your top drawer?” Cameron wants to share the sweets with Sean. Cameron says the sweets are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,3.5193815472912084
40,40,candy,Antonio,Marta,top,bottom,"It is Antonio's birthday, and their auntie pops in to give her a box of candy. Antonio puts candy in the top drawer for safe-keeping. A few minutes later, Antonio's sweet sibling Marta comes in and asks Antonio: “Where have you put your candy, in your top drawer or your bottom drawer?” Antonio wants to share the candy with Marta. Antonio says the candy are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,1.3202849175755318
41,41,candy,Antonio,Marta,bottom,top,"It is Antonio's birthday, and their auntie pops in to give her a box of candy. Antonio puts candy in the bottom drawer for safe-keeping. A few minutes later, Antonio's sweet sibling Marta comes in and asks Antonio: “Where have you put your candy, in your bottom drawer or your top drawer?” Antonio wants to share the candy with Marta. Antonio says the candy are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,2.2899141140223933
42,42,candy,Antonio,Catherine,top,bottom,"It is Antonio's birthday, and their auntie pops in to give her a box of candy. Antonio puts candy in the top drawer for safe-keeping. A few minutes later, Antonio's sweet sibling Catherine comes in and asks Antonio: “Where have you put your candy, in your top drawer or your bottom drawer?” Antonio wants to share the candy with Catherine. Antonio says the candy are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,1.1980733652935769
43,43,candy,Antonio,Catherine,bottom,top,"It is Antonio's birthday, and their auntie pops in to give her a box of candy. Antonio puts candy in the bottom drawer for safe-keeping. A few minutes later, Antonio's sweet sibling Catherine comes in and asks Antonio: “Where have you put your candy, in your bottom drawer or your top drawer?” Antonio wants to share the candy with Catherine. Antonio says the candy are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,2.6036234435777987
44,44,candy,Sonja,Cameron,top,bottom,"It is Sonja's birthday, and their auntie pops in to give her a box of candy. Sonja puts candy in the top drawer for safe-keeping. A few minutes later, Sonja's sweet sibling Cameron comes in and asks Sonja: “Where have you put your candy, in your top drawer or your bottom drawer?” Sonja wants to share the candy with Cameron. Sonja says the candy are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,2.4252510104237355
45,45,candy,Sonja,Cameron,bottom,top,"It is Sonja's birthday, and their auntie pops in to give her a box of candy. Sonja puts candy in the bottom drawer for safe-keeping. A few minutes later, Sonja's sweet sibling Cameron comes in and asks Sonja: “Where have you put your candy, in your bottom drawer or your top drawer?” Sonja wants to share the candy with Cameron. Sonja says the candy are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,4.2576159782159495
46,46,candy,Sonja,Tyler,top,bottom,"It is Sonja's birthday, and their auntie pops in to give her a box of candy. Sonja puts candy in the top drawer for safe-keeping. A few minutes later, Sonja's sweet sibling Tyler comes in and asks Sonja: “Where have you put your candy, in your top drawer or your bottom drawer?” Sonja wants to share the candy with Tyler. Sonja says the candy are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,2.365610128345234
47,47,candy,Sonja,Tyler,bottom,top,"It is Sonja's birthday, and their auntie pops in to give her a box of candy. Sonja puts candy in the bottom drawer for safe-keeping. A few minutes later, Sonja's sweet sibling Tyler comes in and asks Sonja: “Where have you put your candy, in your bottom drawer or your top drawer?” Sonja wants to share the candy with Tyler. Sonja says the candy are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,4.225583054534307
48,48,chocolates,Sonja,Ben,top,bottom,"It is Sonja's birthday, and their auntie pops in to give them a box of chocolates. Sonja considers the bottom drawer, but then puts the chocolates in the top drawer for safe-keeping. A few minutes later, Sonja's greedy sibling Ben comes in and asks Sonja: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Sonja does not want Ben to find the chocolates. Sonja says the chocolates are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,-1.7881460193618797
49,49,chocolates,Sonja,Ben,bottom,top,"It is Sonja's birthday, and their auntie pops in to give them a box of chocolates. Sonja considers the top drawer, but then puts the chocolates in the bottom drawer for safe-keeping. A few minutes later, Sonja's greedy sibling Ben comes in and asks Sonja: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Sonja does not want Ben to find the chocolates. Sonja says the chocolates are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,0.372921010058318
50,50,chocolates,Sonja,James,top,bottom,"It is Sonja's birthday, and their auntie pops in to give them a box of chocolates. Sonja considers the bottom drawer, but then puts the chocolates in the top drawer for safe-keeping. A few minutes later, Sonja's greedy sibling James comes in and asks Sonja: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Sonja does not want James to find the chocolates. Sonja says the chocolates are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,-1.832501359726768
51,51,chocolates,Sonja,James,bottom,top,"It is Sonja's birthday, and their auntie pops in to give them a box of chocolates. Sonja considers the top drawer, but then puts the chocolates in the bottom drawer for safe-keeping. A few minutes later, Sonja's greedy sibling James comes in and asks Sonja: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Sonja does not want James to find the chocolates. Sonja says the chocolates are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,0.550514224942203
52,52,chocolates,Catherine,Tyler,top,bottom,"It is Catherine's birthday, and their auntie pops in to give them a box of chocolates. Catherine considers the bottom drawer, but then puts the chocolates in the top drawer for safe-keeping. A few minutes later, Catherine's greedy sibling Tyler comes in and asks Catherine: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Catherine does not want Tyler to find the chocolates. Catherine says the chocolates are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,-1.683759709502835
53,53,chocolates,Catherine,Tyler,bottom,top,"It is Catherine's birthday, and their auntie pops in to give them a box of chocolates. Catherine considers the top drawer, but then puts the chocolates in the bottom drawer for safe-keeping. A few minutes later, Catherine's greedy sibling Tyler comes in and asks Catherine: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Catherine does not want Tyler to find the chocolates. Catherine says the chocolates are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,0.9829550100154832
54,54,chocolates,Catherine,Antonio,top,bottom,"It is Catherine's birthday, and their auntie pops in to give them a box of chocolates. Catherine considers the bottom drawer, but then puts the chocolates in the top drawer for safe-keeping. A few minutes later, Catherine's greedy sibling Antonio comes in and asks Catherine: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Catherine does not want Antonio to find the chocolates. Catherine says the chocolates are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,-2.0056353094868427
55,55,chocolates,Catherine,Antonio,bottom,top,"It is Catherine's birthday, and their auntie pops in to give them a box of chocolates. Catherine considers the top drawer, but then puts the chocolates in the bottom drawer for safe-keeping. A few minutes later, Catherine's greedy sibling Antonio comes in and asks Catherine: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Catherine does not want Antonio to find the chocolates. Catherine says the chocolates are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,0.6066035508414563
56,56,sweets,James,Pamela,top,bottom,"It is James's birthday, and their auntie pops in to give them a box of sweets. James considers the bottom drawer, but then puts the sweets in the top drawer for safe-keeping. A few minutes later, James's greedy sibling Pamela comes in and asks James: “Where have you put your sweets, in your top drawer or your bottom drawer?” James does not want Pamela to find the sweets. James says the sweets are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,-1.542100914058536
57,57,sweets,James,Pamela,bottom,top,"It is James's birthday, and their auntie pops in to give them a box of sweets. James considers the top drawer, but then puts the sweets in the bottom drawer for safe-keeping. A few minutes later, James's greedy sibling Pamela comes in and asks James: “Where have you put your sweets, in your bottom drawer or your top drawer?” James does not want Pamela to find the sweets. James says the sweets are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,0.8257675930636713
58,58,sweets,James,Cameron,top,bottom,"It is James's birthday, and their auntie pops in to give them a box of sweets. James considers the bottom drawer, but then puts the sweets in the top drawer for safe-keeping. A few minutes later, James's greedy sibling Cameron comes in and asks James: “Where have you put your sweets, in your top drawer or your bottom drawer?” James does not want Cameron to find the sweets. James says the sweets are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,-1.2182312050737256
59,59,sweets,James,Cameron,bottom,top,"It is James's birthday, and their auntie pops in to give them a box of sweets. James considers the top drawer, but then puts the sweets in the bottom drawer for safe-keeping. A few minutes later, James's greedy sibling Cameron comes in and asks James: “Where have you put your sweets, in your bottom drawer or your top drawer?” James does not want Cameron to find the sweets. James says the sweets are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,1.0049858618148766
60,60,sweets,Ben,Sonja,top,bottom,"It is Ben's birthday, and their auntie pops in to give them a box of sweets. Ben considers the bottom drawer, but then puts the sweets in the top drawer for safe-keeping. A few minutes later, Ben's greedy sibling Sonja comes in and asks Ben: “Where have you put your sweets, in your top drawer or your bottom drawer?” Ben does not want Sonja to find the sweets. Ben says the sweets are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,-1.8720997912757886
61,61,sweets,Ben,Sonja,bottom,top,"It is Ben's birthday, and their auntie pops in to give them a box of sweets. Ben considers the top drawer, but then puts the sweets in the bottom drawer for safe-keeping. A few minutes later, Ben's greedy sibling Sonja comes in and asks Ben: “Where have you put your sweets, in your bottom drawer or your top drawer?” Ben does not want Sonja to find the sweets. Ben says the sweets are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,0.5551137994481903
62,62,sweets,Ben,James,top,bottom,"It is Ben's birthday, and their auntie pops in to give them a box of sweets. Ben considers the bottom drawer, but then puts the sweets in the top drawer for safe-keeping. A few minutes later, Ben's greedy sibling James comes in and asks Ben: “Where have you put your sweets, in your top drawer or your bottom drawer?” Ben does not want James to find the sweets. Ben says the sweets are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,-1.694862328945597
63,63,sweets,Ben,James,bottom,top,"It is Ben's birthday, and their auntie pops in to give them a box of sweets. Ben considers the top drawer, but then puts the sweets in the bottom drawer for safe-keeping. A few minutes later, Ben's greedy sibling James comes in and asks Ben: “Where have you put your sweets, in your bottom drawer or your top drawer?” Ben does not want James to find the sweets. Ben says the sweets are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,0.6053113888028364
64,64,candy,Sonja,Cameron,top,bottom,"It is Sonja's birthday, and their auntie pops in to give them a box of candy. Sonja considers the bottom drawer, but then puts the candy in the top drawer for safe-keeping. A few minutes later, Sonja's greedy sibling Cameron comes in and asks Sonja: “Where have you put your candy, in your top drawer or your bottom drawer?” Sonja does not want Cameron to find the candy. Sonja says the candy are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,-2.108890549616377
65,65,candy,Sonja,Cameron,bottom,top,"It is Sonja's birthday, and their auntie pops in to give them a box of candy. Sonja considers the top drawer, but then puts the candy in the bottom drawer for safe-keeping. A few minutes later, Sonja's greedy sibling Cameron comes in and asks Sonja: “Where have you put your candy, in your bottom drawer or your top drawer?” Sonja does not want Cameron to find the candy. Sonja says the candy are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,0.9233713096064398
66,66,candy,Sonja,Emily,top,bottom,"It is Sonja's birthday, and their auntie pops in to give them a box of candy. Sonja considers the bottom drawer, but then puts the candy in the top drawer for safe-keeping. A few minutes later, Sonja's greedy sibling Emily comes in and asks Sonja: “Where have you put your candy, in your top drawer or your bottom drawer?” Sonja does not want Emily to find the candy. Sonja says the candy are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,-2.3067093048448437
