,Unnamed: 0,item,a,b,real,alt,passage,condition,first_mention,mentions_real,mentions_alt,stim_number,knowledge_cue,log_odds
11,11,sweets,Tyler,Marta,bottom,top,"It is Tyler's birthday, and their auntie pops in to give them a box of sweets. Tyler puts the sweets in the bottom drawer for safe-keeping. A few minutes later, Tyler's greedy sibling Marta comes in and asks Tyler: “Where have you put your sweets, in your bottom drawer or your top drawer?” Tyler does not want Marta to find the sweets. Tyler says the sweets are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,-0.012068316000000003
12,12,sweets,Ben,Emily,top,bottom,"It is Ben's birthday, and their auntie pops in to give them a box of sweets. Ben puts the sweets in the top drawer for safe-keeping. A few minutes later, Ben's greedy sibling Emily comes in and asks Ben: “Where have you put your sweets, in your top drawer or your bottom drawer?” Ben does not want Emily to find the sweets. Ben says the sweets are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,-0.006967690000000002
13,13,sweets,Ben,Emily,bottom,top,"It is Ben's birthday, and their auntie pops in to give them a box of sweets. Ben puts the sweets in the bottom drawer for safe-keeping. A few minutes later, Ben's greedy sibling Emily comes in and asks Ben: “Where have you put your sweets, in your bottom drawer or your top drawer?” Ben does not want Emily to find the sweets. Ben says the sweets are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,-0.006835535000000004
14,14,sweets,Ben,Antonio,top,bottom,"It is Ben's birthday, and their auntie pops in to give them a box of sweets. Ben puts the sweets in the top drawer for safe-keeping. A few minutes later, Ben's greedy sibling Antonio comes in and asks Ben: “Where have you put your sweets, in your top drawer or your bottom drawer?” Ben does not want Antonio to find the sweets. Ben says the sweets are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,-0.005481912000000002
15,15,sweets,Ben,Antonio,bottom,top,"It is Ben's birthday, and their auntie pops in to give them a box of sweets. Ben puts the sweets in the bottom drawer for safe-keeping. A few minutes later, Ben's greedy sibling Antonio comes in and asks Ben: “Where have you put your sweets, in your bottom drawer or your top drawer?” Ben does not want Antonio to find the sweets. Ben says the sweets are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,-0.007062645999999999
16,16,candy,Marta,Pamela,top,bottom,"It is Marta's birthday, and their auntie pops in to give them a box of candy. Marta puts the candy in the top drawer for safe-keeping. A few minutes later, Marta's greedy sibling Pamela comes in and asks Marta: “Where have you put your candy, in your top drawer or your bottom drawer?” Marta does not want Pamela to find the candy. Marta says the candy are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,-0.006795685999999995
17,17,candy,Marta,Pamela,bottom,top,"It is Marta's birthday, and their auntie pops in to give them a box of candy. Marta puts the candy in the bottom drawer for safe-keeping. A few minutes later, Marta's greedy sibling Pamela comes in and asks Marta: “Where have you put your candy, in your bottom drawer or your top drawer?” Marta does not want Pamela to find the candy. Marta says the candy are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,-0.013144870000000003
18,18,candy,Marta,Tyler,top,bottom,"It is Marta's birthday, and their auntie pops in to give them a box of candy. Marta puts the candy in the top drawer for safe-keeping. A few minutes later, Marta's greedy sibling Tyler comes in and asks Marta: “Where have you put your candy, in your top drawer or your bottom drawer?” Marta does not want Tyler to find the candy. Marta says the candy are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,-0.00673613
19,19,candy,Marta,Tyler,bottom,top,"It is Marta's birthday, and their auntie pops in to give them a box of candy. Marta puts the candy in the bottom drawer for safe-keeping. A few minutes later, Marta's greedy sibling Tyler comes in and asks Marta: “Where have you put your candy, in your bottom drawer or your top drawer?” Marta does not want Tyler to find the candy. Marta says the candy are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,-0.013797277000000004
20,20,candy,Antonio,Emily,top,bottom,"It is Antonio's birthday, and their auntie pops in to give them a box of candy. Antonio puts the candy in the top drawer for safe-keeping. A few minutes later, Antonio's greedy sibling Emily comes in and asks Antonio: “Where have you put your candy, in your top drawer or your bottom drawer?” Antonio does not want Emily to find the candy. Antonio says the candy are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,-0.007852165000000001
21,21,candy,Antonio,Emily,bottom,top,"It is Antonio's birthday, and their auntie pops in to give them a box of candy. Antonio puts the candy in the bottom drawer for safe-keeping. A few minutes later, Antonio's greedy sibling Emily comes in and asks Antonio: “Where have you put your candy, in your bottom drawer or your top drawer?” Antonio does not want Emily to find the candy. Antonio says the candy are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,-0.01297864
22,22,candy,Antonio,Marta,top,bottom,"It is Antonio's birthday, and their auntie pops in to give them a box of candy. Antonio puts the candy in the top drawer for safe-keeping. A few minutes later, Antonio's greedy sibling Marta comes in and asks Antonio: “Where have you put your candy, in your top drawer or your bottom drawer?” Antonio does not want Marta to find the candy. Antonio says the candy are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,-0.005225479000000005
23,23,candy,Antonio,Marta,bottom,top,"It is Antonio's birthday, and their auntie pops in to give them a box of candy. Antonio puts the candy in the bottom drawer for safe-keeping. A few minutes later, Antonio's greedy sibling Marta comes in and asks Antonio: “Where have you put your candy, in your bottom drawer or your top drawer?” Antonio does not want Marta to find the candy. Antonio says the candy are in the [MASK] drawer.",Deception,Real,2,1,1,Explicit,-0.013627433000000001
24,24,chocolates,Sean,Antonio,top,bottom,"It is Sean's birthday, and their auntie pops in to give her a box of chocolates. Sean puts chocolates in the top drawer for safe-keeping. A few minutes later, Sean's sweet sibling Antonio comes in and asks Sean: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Sean wants to share the chocolates with Antonio. Sean says the chocolates are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,0.004087488
25,25,chocolates,Sean,Antonio,bottom,top,"It is Sean's birthday, and their auntie pops in to give her a box of chocolates. Sean puts chocolates in the bottom drawer for safe-keeping. A few minutes later, Sean's sweet sibling Antonio comes in and asks Sean: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Sean wants to share the chocolates with Antonio. Sean says the chocolates are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,-0.019948813000000003
26,26,chocolates,Sean,Cameron,top,bottom,"It is Sean's birthday, and their auntie pops in to give her a box of chocolates. Sean puts chocolates in the top drawer for safe-keeping. A few minutes later, Sean's sweet sibling Cameron comes in and asks Sean: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Sean wants to share the chocolates with Cameron. Sean says the chocolates are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,0.0028776800000000005
27,27,chocolates,Sean,Cameron,bottom,top,"It is Sean's birthday, and their auntie pops in to give her a box of chocolates. Sean puts chocolates in the bottom drawer for safe-keeping. A few minutes later, Sean's sweet sibling Cameron comes in and asks Sean: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Sean wants to share the chocolates with Cameron. Sean says the chocolates are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,-0.019692714
28,28,chocolates,Ben,Marta,top,bottom,"It is Ben's birthday, and their auntie pops in to give her a box of chocolates. Ben puts chocolates in the top drawer for safe-keeping. A few minutes later, Ben's sweet sibling Marta comes in and asks Ben: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Ben wants to share the chocolates with Marta. Ben says the chocolates are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,0.002950394999999998
29,29,chocolates,Ben,Marta,bottom,top,"It is Ben's birthday, and their auntie pops in to give her a box of chocolates. Ben puts chocolates in the bottom drawer for safe-keeping. A few minutes later, Ben's sweet sibling Marta comes in and asks Ben: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Ben wants to share the chocolates with Marta. Ben says the chocolates are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,-0.018841226000000003
30,30,chocolates,Ben,Sean,top,bottom,"It is Ben's birthday, and their auntie pops in to give her a box of chocolates. Ben puts chocolates in the top drawer for safe-keeping. A few minutes later, Ben's sweet sibling Sean comes in and asks Ben: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Ben wants to share the chocolates with Sean. Ben says the chocolates are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,0.0025985609999999992
31,31,chocolates,Ben,Sean,bottom,top,"It is Ben's birthday, and their auntie pops in to give her a box of chocolates. Ben puts chocolates in the bottom drawer for safe-keeping. A few minutes later, Ben's sweet sibling Sean comes in and asks Ben: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Ben wants to share the chocolates with Sean. Ben says the chocolates are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,-0.018977988
32,32,sweets,Sonja,Tyler,top,bottom,"It is Sonja's birthday, and their auntie pops in to give her a box of sweets. Sonja puts sweets in the top drawer for safe-keeping. A few minutes later, Sonja's sweet sibling Tyler comes in and asks Sonja: “Where have you put your sweets, in your top drawer or your bottom drawer?” Sonja wants to share the sweets with Tyler. Sonja says the sweets are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,-0.004173143000000001
33,33,sweets,Sonja,Tyler,bottom,top,"It is Sonja's birthday, and their auntie pops in to give her a box of sweets. Sonja puts sweets in the bottom drawer for safe-keeping. A few minutes later, Sonja's sweet sibling Tyler comes in and asks Sonja: “Where have you put your sweets, in your bottom drawer or your top drawer?” Sonja wants to share the sweets with Tyler. Sonja says the sweets are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,-0.010134835000000002
34,34,sweets,Sonja,Antonio,top,bottom,"It is Sonja's birthday, and their auntie pops in to give her a box of sweets. Sonja puts sweets in the top drawer for safe-keeping. A few minutes later, Sonja's sweet sibling Antonio comes in and asks Sonja: “Where have you put your sweets, in your top drawer or your bottom drawer?” Sonja wants to share the sweets with Antonio. Sonja says the sweets are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,-0.003697477000000001
35,35,sweets,Sonja,Antonio,bottom,top,"It is Sonja's birthday, and their auntie pops in to give her a box of sweets. Sonja puts sweets in the bottom drawer for safe-keeping. A few minutes later, Sonja's sweet sibling Antonio comes in and asks Sonja: “Where have you put your sweets, in your bottom drawer or your top drawer?” Sonja wants to share the sweets with Antonio. Sonja says the sweets are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,-0.008877977000000002
36,36,sweets,Cameron,Antonio,top,bottom,"It is Cameron's birthday, and their auntie pops in to give her a box of sweets. Cameron puts sweets in the top drawer for safe-keeping. A few minutes later, Cameron's sweet sibling Antonio comes in and asks Cameron: “Where have you put your sweets, in your top drawer or your bottom drawer?” Cameron wants to share the sweets with Antonio. Cameron says the sweets are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,-0.004135015999999998
37,37,sweets,Cameron,Antonio,bottom,top,"It is Cameron's birthday, and their auntie pops in to give her a box of sweets. Cameron puts sweets in the bottom drawer for safe-keeping. A few minutes later, Cameron's sweet sibling Antonio comes in and asks Cameron: “Where have you put your sweets, in your bottom drawer or your top drawer?” Cameron wants to share the sweets with Antonio. Cameron says the sweets are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,-0.0069933949999999995
38,38,sweets,Cameron,Sean,top,bottom,"It is Cameron's birthday, and their auntie pops in to give her a box of sweets. Cameron puts sweets in the top drawer for safe-keeping. A few minutes later, Cameron's sweet sibling Sean comes in and asks Cameron: “Where have you put your sweets, in your top drawer or your bottom drawer?” Cameron wants to share the sweets with Sean. Cameron says the sweets are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,-0.005156105000000001
39,39,sweets,Cameron,Sean,bottom,top,"It is Cameron's birthday, and their auntie pops in to give her a box of sweets. Cameron puts sweets in the bottom drawer for safe-keeping. A few minutes later, Cameron's sweet sibling Sean comes in and asks Cameron: “Where have you put your sweets, in your bottom drawer or your top drawer?” Cameron wants to share the sweets with Sean. Cameron says the sweets are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,-0.005528753000000004
40,40,candy,Antonio,Marta,top,bottom,"It is Antonio's birthday, and their auntie pops in to give her a box of candy. Antonio puts candy in the top drawer for safe-keeping. A few minutes later, Antonio's sweet sibling Marta comes in and asks Antonio: “Where have you put your candy, in your top drawer or your bottom drawer?” Antonio wants to share the candy with Marta. Antonio says the candy are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,-0.005040731999999999
41,41,candy,Antonio,Marta,bottom,top,"It is Antonio's birthday, and their auntie pops in to give her a box of candy. Antonio puts candy in the bottom drawer for safe-keeping. A few minutes later, Antonio's sweet sibling Marta comes in and asks Antonio: “Where have you put your candy, in your bottom drawer or your top drawer?” Antonio wants to share the candy with Marta. Antonio says the candy are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,-0.014211917000000004
42,42,candy,Antonio,Catherine,top,bottom,"It is Antonio's birthday, and their auntie pops in to give her a box of candy. Antonio puts candy in the top drawer for safe-keeping. A few minutes later, Antonio's sweet sibling Catherine comes in and asks Antonio: “Where have you put your candy, in your top drawer or your bottom drawer?” Antonio wants to share the candy with Catherine. Antonio says the candy are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,-0.0024184879999999964
43,43,candy,Antonio,Catherine,bottom,top,"It is Antonio's birthday, and their auntie pops in to give her a box of candy. Antonio puts candy in the bottom drawer for safe-keeping. A few minutes later, Antonio's sweet sibling Catherine comes in and asks Antonio: “Where have you put your candy, in your bottom drawer or your top drawer?” Antonio wants to share the candy with Catherine. Antonio says the candy are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,-0.016806093
44,44,candy,Sonja,Cameron,top,bottom,"It is Sonja's birthday, and their auntie pops in to give her a box of candy. Sonja puts candy in the top drawer for safe-keeping. A few minutes later, Sonja's sweet sibling Cameron comes in and asks Sonja: “Where have you put your candy, in your top drawer or your bottom drawer?” Sonja wants to share the candy with Cameron. Sonja says the candy are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,-0.00974556
45,45,candy,Sonja,Cameron,bottom,top,"It is Sonja's birthday, and their auntie pops in to give her a box of candy. Sonja puts candy in the bottom drawer for safe-keeping. A few minutes later, Sonja's sweet sibling Cameron comes in and asks Sonja: “Where have you put your candy, in your bottom drawer or your top drawer?” Sonja wants to share the candy with Cameron. Sonja says the candy are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,-0.015742618
46,46,candy,Sonja,Tyler,top,bottom,"It is Sonja's birthday, and their auntie pops in to give her a box of candy. Sonja puts candy in the top drawer for safe-keeping. A few minutes later, Sonja's sweet sibling Tyler comes in and asks Sonja: “Where have you put your candy, in your top drawer or your bottom drawer?” Sonja wants to share the candy with Tyler. Sonja says the candy are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,-0.009768273999999993
47,47,candy,Sonja,Tyler,bottom,top,"It is Sonja's birthday, and their auntie pops in to give her a box of candy. Sonja puts candy in the bottom drawer for safe-keeping. A few minutes later, Sonja's sweet sibling Tyler comes in and asks Sonja: “Where have you put your candy, in your bottom drawer or your top drawer?” Sonja wants to share the candy with Tyler. Sonja says the candy are in the [MASK] drawer.",Cooperation,Real,2,1,1,Explicit,-0.015085607000000001
48,48,chocolates,Sonja,Ben,top,bottom,"It is Sonja's birthday, and their auntie pops in to give them a box of chocolates. Sonja considers the bottom drawer, but then puts the chocolates in the top drawer for safe-keeping. A few minutes later, Sonja's greedy sibling Ben comes in and asks Sonja: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Sonja does not want Ben to find the chocolates. Sonja says the chocolates are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,0.001789930000000002
49,49,chocolates,Sonja,Ben,bottom,top,"It is Sonja's birthday, and their auntie pops in to give them a box of chocolates. Sonja considers the top drawer, but then puts the chocolates in the bottom drawer for safe-keeping. A few minutes later, Sonja's greedy sibling Ben comes in and asks Sonja: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Sonja does not want Ben to find the chocolates. Sonja says the chocolates are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,-0.019193281000000003
50,50,chocolates,Sonja,James,top,bottom,"It is Sonja's birthday, and their auntie pops in to give them a box of chocolates. Sonja considers the bottom drawer, but then puts the chocolates in the top drawer for safe-keeping. A few minutes later, Sonja's greedy sibling James comes in and asks Sonja: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Sonja does not want James to find the chocolates. Sonja says the chocolates are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,0.001363086999999999
51,51,chocolates,Sonja,James,bottom,top,"It is Sonja's birthday, and their auntie pops in to give them a box of chocolates. Sonja considers the top drawer, but then puts the chocolates in the bottom drawer for safe-keeping. A few minutes later, Sonja's greedy sibling James comes in and asks Sonja: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Sonja does not want James to find the chocolates. Sonja says the chocolates are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,-0.017497702
52,52,chocolates,Catherine,Tyler,top,bottom,"It is Catherine's birthday, and their auntie pops in to give them a box of chocolates. Catherine considers the bottom drawer, but then puts the chocolates in the top drawer for safe-keeping. A few minutes later, Catherine's greedy sibling Tyler comes in and asks Catherine: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Catherine does not want Tyler to find the chocolates. Catherine says the chocolates are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,0.005862761000000001
53,53,chocolates,Catherine,Tyler,bottom,top,"It is Catherine's birthday, and their auntie pops in to give them a box of chocolates. Catherine considers the top drawer, but then puts the chocolates in the bottom drawer for safe-keeping. A few minutes later, Catherine's greedy sibling Tyler comes in and asks Catherine: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Catherine does not want Tyler to find the chocolates. Catherine says the chocolates are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,-0.016147606000000002
54,54,chocolates,Catherine,Antonio,top,bottom,"It is Catherine's birthday, and their auntie pops in to give them a box of chocolates. Catherine considers the bottom drawer, but then puts the chocolates in the top drawer for safe-keeping. A few minutes later, Catherine's greedy sibling Antonio comes in and asks Catherine: “Where have you put your chocolates, in your top drawer or your bottom drawer?” Catherine does not want Antonio to find the chocolates. Catherine says the chocolates are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,0.005594197000000002
55,55,chocolates,Catherine,Antonio,bottom,top,"It is Catherine's birthday, and their auntie pops in to give them a box of chocolates. Catherine considers the top drawer, but then puts the chocolates in the bottom drawer for safe-keeping. A few minutes later, Catherine's greedy sibling Antonio comes in and asks Catherine: “Where have you put your chocolates, in your bottom drawer or your top drawer?” Catherine does not want Antonio to find the chocolates. Catherine says the chocolates are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,-0.014869715999999998
56,56,sweets,James,Pamela,top,bottom,"It is James's birthday, and their auntie pops in to give them a box of sweets. James considers the bottom drawer, but then puts the sweets in the top drawer for safe-keeping. A few minutes later, James's greedy sibling Pamela comes in and asks James: “Where have you put your sweets, in your top drawer or your bottom drawer?” James does not want Pamela to find the sweets. James says the sweets are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,-0.0054697450000000016
57,57,sweets,James,Pamela,bottom,top,"It is James's birthday, and their auntie pops in to give them a box of sweets. James considers the top drawer, but then puts the sweets in the bottom drawer for safe-keeping. A few minutes later, James's greedy sibling Pamela comes in and asks James: “Where have you put your sweets, in your bottom drawer or your top drawer?” James does not want Pamela to find the sweets. James says the sweets are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,-0.004810432
58,58,sweets,James,Cameron,top,bottom,"It is James's birthday, and their auntie pops in to give them a box of sweets. James considers the bottom drawer, but then puts the sweets in the top drawer for safe-keeping. A few minutes later, James's greedy sibling Cameron comes in and asks James: “Where have you put your sweets, in your top drawer or your bottom drawer?” James does not want Cameron to find the sweets. James says the sweets are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,-0.005875083
59,59,sweets,James,Cameron,bottom,top,"It is James's birthday, and their auntie pops in to give them a box of sweets. James considers the top drawer, but then puts the sweets in the bottom drawer for safe-keeping. A few minutes later, James's greedy sibling Cameron comes in and asks James: “Where have you put your sweets, in your bottom drawer or your top drawer?” James does not want Cameron to find the sweets. James says the sweets are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,-0.004089428000000003
60,60,sweets,Ben,Sonja,top,bottom,"It is Ben's birthday, and their auntie pops in to give them a box of sweets. Ben considers the bottom drawer, but then puts the sweets in the top drawer for safe-keeping. A few minutes later, Ben's greedy sibling Sonja comes in and asks Ben: “Where have you put your sweets, in your top drawer or your bottom drawer?” Ben does not want Sonja to find the sweets. Ben says the sweets are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,-0.0047442499999999985
61,61,sweets,Ben,Sonja,bottom,top,"It is Ben's birthday, and their auntie pops in to give them a box of sweets. Ben considers the top drawer, but then puts the sweets in the bottom drawer for safe-keeping. A few minutes later, Ben's greedy sibling Sonja comes in and asks Ben: “Where have you put your sweets, in your bottom drawer or your top drawer?” Ben does not want Sonja to find the sweets. Ben says the sweets are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,-0.010210228999999998
62,62,sweets,Ben,James,top,bottom,"It is Ben's birthday, and their auntie pops in to give them a box of sweets. Ben considers the bottom drawer, but then puts the sweets in the top drawer for safe-keeping. A few minutes later, Ben's greedy sibling James comes in and asks Ben: “Where have you put your sweets, in your top drawer or your bottom drawer?” Ben does not want James to find the sweets. Ben says the sweets are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,-0.006207014
63,63,sweets,Ben,James,bottom,top,"It is Ben's birthday, and their auntie pops in to give them a box of sweets. Ben considers the top drawer, but then puts the sweets in the bottom drawer for safe-keeping. A few minutes later, Ben's greedy sibling James comes in and asks Ben: “Where have you put your sweets, in your bottom drawer or your top drawer?” Ben does not want James to find the sweets. Ben says the sweets are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,-0.007361721000000002
64,64,candy,Sonja,Cameron,top,bottom,"It is Sonja's birthday, and their auntie pops in to give them a box of candy. Sonja considers the bottom drawer, but then puts the candy in the top drawer for safe-keeping. A few minutes later, Sonja's greedy sibling Cameron comes in and asks Sonja: “Where have you put your candy, in your top drawer or your bottom drawer?” Sonja does not want Cameron to find the candy. Sonja says the candy are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,-0.007610613999999995
65,65,candy,Sonja,Cameron,bottom,top,"It is Sonja's birthday, and their auntie pops in to give them a box of candy. Sonja considers the top drawer, but then puts the candy in the bottom drawer for safe-keeping. A few minutes later, Sonja's greedy sibling Cameron comes in and asks Sonja: “Where have you put your candy, in your bottom drawer or your top drawer?” Sonja does not want Cameron to find the candy. Sonja says the candy are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,-0.018263429999999997
66,66,candy,Sonja,Emily,top,bottom,"It is Sonja's birthday, and their auntie pops in to give them a box of candy. Sonja considers the bottom drawer, but then puts the candy in the top drawer for safe-keeping. A few minutes later, Sonja's greedy sibling Emily comes in and asks Sonja: “Where have you put your candy, in your top drawer or your bottom drawer?” Sonja does not want Emily to find the candy. Sonja says the candy are in the [MASK] drawer.",Deception,Alt,2,2,1,Explicit,-0.008145858000000006
